source,tag,comparison,radius,metric_type,threshold,window,pca_group,dtw_score
,,Confirmed Cases,20,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,43.88307692307699
,,Confirmed Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,43.91794871794867
,,Confirmed Cases,50,Clustering Coefficient,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,44.027582417582394
MSV,,Confirmed Cases,20,Network Density,0.5,30,,44.03651821862343
MSV,,Confirmed Cases,50,Network Density,0.6,30,,44.13366515837098
RSV,flu,Confirmed Cases,30,,,,,44.17546931979796
,,Confirmed Cases,50,Network Density,0.6,15day,MSVSymptoms-0.5,44.201282051282064
,,Confirmed Cases,30,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,44.210512820512875
,,Confirmed Cases,30,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,44.28094017094016
,,Confirmed Cases,30,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,44.31512820512829
,,Confirmed Cases,30,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,44.37461538461547
,,Confirmed Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,44.38384615384633
,,Confirmed Cases,50,Clustering Coefficient,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,44.46278388278392
,,Active Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,44.472887130674515
MSV,,Confirmed Cases,15,Network Density,0.5,30,,44.48083670715244
MSV,,Confirmed Cases,30,Clustering Coefficient,0.5,15,,44.517761194029966
,,Active Cases,50,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,44.5503352167407
,,Confirmed Cases,15,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,44.5761538461539
,,Confirmed Cases,30,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,44.6081118881119
MSV,,Confirmed Cases,15,Clustering Coefficient,0.4,15,,44.61613437195714
,,Confirmed Cases,30,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,44.717948717948694
RSV,,Confirmed Cases,15,Clustering Coefficient,0.4,15,,44.721846516263525
,,Confirmed Cases,50,Network Density,0.8,30day,MSVSymptoms-0.5,44.73948717948729
RSV,,Active Cases,50,Network Density,0.5,30,,44.973887606706306
RSV,,Confirmed Cases,50,Clustering Coefficient,0.6,30,,45.042692307692505
MSV,,Confirmed Cases,30,Network Density,0.8,30,,45.053589743589896
,,Confirmed Cases,15,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,45.083461538461634
RSV,fever,Confirmed Cases,7,,,,,45.08758115340254
RSV,,Confirmed Cases,30,Network Density,0.5,15,,45.27461538461537
RSV,cough,Confirmed Cases,15,,,,,45.28341139124824
,,Confirmed Cases,50,Network Density,0.6,30day,MSVFaceWearing&Others-0.5,45.30307692307696
,,Confirmed Cases,20,Clustering Coefficient,0.6,15day,RSVFaceWearing&Others-0.5,45.3433333333334
RSV,,Confirmed Cases,15,Network Density,0.6,30,,45.46824049513708
RSV,,Confirmed Cases,15,Clustering Coefficient,0.5,15,,45.532394775036344
,,Confirmed Cases,15,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,45.60076923076925
,,Confirmed Cases,20,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,45.75202797202804
,,Confirmed Cases,30,Network Density,0.5,30day,MSVSymptoms-0.5,45.76051282051294
,,Active Cases,50,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,45.794899728235414
,,Confirmed Cases,30,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,45.81794871794876
RSV,flu,Confirmed Cases,20,,,,,45.88360099381369
,,Confirmed Cases,30,Clustering Coefficient,0.5,30day,MSVSymptoms-0.5,45.89743589743601
,,Confirmed Cases,50,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols-0.5,45.930512820513194
RSV,,Confirmed Cases,7,Network Density,0.6,15,,45.935897435897495
MSV,,Confirmed Cases,30,Network Density,0.6,30,,45.96809954751131
,,Confirmed Cases,20,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,46.04162393162393
,,Confirmed Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,46.04820512820519
RSV,,Confirmed Cases,50,Clustering Coefficient,0.4,30,,46.09518959913331
RSV,,Confirmed Cases,7,Network Density,0.5,30,,46.117561121049526
MSV,,Confirmed Cases,30,Network Density,0.8,15,,46.15282051282073
MSV,,Confirmed Cases,50,Network Density,0.5,15,,46.15523378582198
,,Confirmed Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,46.245897435897504
,,Confirmed Cases,50,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,46.33205128205133
,,Confirmed Cases,20,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,46.39410256410262
,,Confirmed Cases,30,Network Density,0.6,15day,MSVSymptoms-0.5,46.45333333333348
,,Confirmed Cases,15,Clustering Coefficient,0.6,15day,RSVFaceWearing&Others-0.5,46.61051282051285
,,Confirmed Cases,50,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols2-0.6,46.66282051282059
RSV,,Active Cases,30,Network Density,0.5,30,,46.705954303447946
RSV,ecq,Confirmed Cases,30,,,,,46.724390796575335
,,Confirmed Cases,50,Network Density,0.6,30day,MSVSymptoms-0.5,46.781111111111144
MSV,,Confirmed Cases,20,Clustering Coefficient,0.5,15,,46.78275928052055
,,Confirmed Cases,30,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols2-0.6,46.81179487179494
,,Confirmed Cases,20,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols2-0.6,46.81948717948725
,,Confirmed Cases,30,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,46.85615384615393
,,Confirmed Cases,50,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,46.90769230769233
RSV,flu,Confirmed Cases,15,,,,,46.98607974666563
,,Confirmed Cases,50,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,47.0284615384615
,,Confirmed Cases,30,Clustering Coefficient,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,47.0486813186813
,,Confirmed Cases,30,Clustering Coefficient,0.4,30day,MSVSymptoms-0.5,47.124358974358984
,,Confirmed Cases,50,Network Density,0.5,15day,MSVSymptoms-0.5,47.18999999999994
MSV,,Confirmed Cases,30,Clustering Coefficient,0.4,30,,47.233193473193474
,,Confirmed Cases,20,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,47.287179487179536
,,Confirmed Cases,20,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,47.29666666666671
RSV,,Confirmed Cases,30,Clustering Coefficient,0.6,15,,47.320718789407486
,,Confirmed Cases,50,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,47.33230769230801
,,Confirmed Cases,50,Network Density,0.8,15day,MSVSymptoms&NewNormalProtocols-0.6,47.34256410256408
,,Confirmed Cases,50,Clustering Coefficient,0.5,15day,MSVSymptoms-0.5,47.381794871794945
MSV,,Confirmed Cases,20,Network Density,0.6,30,,47.38871794871794
,,Active Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,47.413015248269566
,,Confirmed Cases,50,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,47.41589743589737
RSV,,Active Cases,30,Network Density,0.5,15,,47.45809492968858
,,Confirmed Cases,20,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,47.54076923076922
,,Confirmed Cases,30,Network Density,0.8,15day,MSVSymptoms&NewNormalProtocols-0.6,47.55974358974361
,,Confirmed Cases,30,Network Density,0.8,30day,MSVSymptoms-0.5,47.56743589743601
,,Confirmed Cases,30,Network Density,0.5,15day,MSVSymptoms-0.5,47.59333333333332
,,Confirmed Cases,50,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,47.63641025641024
,,Confirmed Cases,30,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,47.63641025641024
,,Confirmed Cases,20,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,47.63641025641024
,,Confirmed Cases,30,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,47.6805128205128
,,Confirmed Cases,15,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,47.75128205128203
,,Confirmed Cases,7,Clustering Coefficient,0.5,15day,RSVFaceWearing&Others-0.5,47.7615750915751
MSV,,Confirmed Cases,7,Network Density,0.6,15,,47.817925407925486
,,Confirmed Cases,15,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,47.82051282051292
,,Confirmed Cases,15,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols2-0.6,47.8407692307693
RSV,,Active Cases,30,Network Density,0.6,15,,47.8569796143216
,,Confirmed Cases,50,Clustering Coefficient,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,47.93289377289397
,,Confirmed Cases,30,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,47.93794871794893
MSV,,Confirmed Cases,20,Network Density,0.8,30,,47.99974358974367
,,Confirmed Cases,15,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,48.07752136752134
,,Confirmed Cases,15,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,48.08121212121216
,,Confirmed Cases,7,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,48.11948717948717
,,Confirmed Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,48.125128205128185
,,Confirmed Cases,20,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,48.15641025641025
,,Confirmed Cases,20,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,48.167435897435944
RSV,,Confirmed Cases,20,Network Density,0.5,15,,48.19025641025641
,,Confirmed Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,48.55227752639517
MSV,,Confirmed Cases,30,Network Density,0.5,15,,48.568009049773714
RSV,,Confirmed Cases,30,Clustering Coefficient,0.5,30,,48.58606837606851
MSV,,Confirmed Cases,15,Network Density,0.6,30,,48.61283559577678
,,Confirmed Cases,15,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,48.61384615384621
MSV,,Confirmed Cases,15,Clustering Coefficient,0.5,15,,48.66501722158445
,,Confirmed Cases,20,Network Density,0.5,15day,MSVSymptoms-0.5,48.67769230769231
,,Active Cases,50,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,48.70044981726171
,,Confirmed Cases,30,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,48.80871794871803
,,Active Cases,50,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,48.81170020322938
MSV,,Confirmed Cases,7,Network Density,0.5,30,,48.83164642375172
,,Confirmed Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,48.84179487179493
RSV,,Confirmed Cases,30,Clustering Coefficient,0.4,30,,48.89133622246303
,,Active Cases,50,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,48.902627610642504
,,Confirmed Cases,20,Network Density,0.8,15day,MSVSymptoms&NewNormalProtocols-0.6,48.976666666666645
,,Active Cases,30,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,48.98486276436559
,,Confirmed Cases,15,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,49.07769230769228
RSV,,Active Cases,20,Network Density,0.5,30,,49.10149056451623
,,Confirmed Cases,30,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,49.17461538461544
,,Confirmed Cases,20,Network Density,0.6,15day,MSVSymptoms-0.5,49.27641025641024
,,Confirmed Cases,15,Network Density,0.8,15day,MSVSymptoms&NewNormalProtocols-0.6,49.27769230769229
RSV,flu,Confirmed Cases,7,,,,,49.37438717991291
RSV,cough,Confirmed Cases,7,,,,,49.39286080329532
MSV,,Confirmed Cases,20,Network Density,0.8,15,,49.4851282051284
,,Confirmed Cases,7,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,49.49128205128203
RSV,,Confirmed Cases,7,Network Density,0.6,30,,49.50561450044208
RSV,,Confirmed Cases,7,Network Density,0.8,15,,49.53446886446887
,,Confirmed Cases,50,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,49.578461538461454
,,Confirmed Cases,15,Network Density,0.5,15day,MSVSymptoms-0.5,49.61461538461536
,,Confirmed Cases,20,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,49.654358974358914
,,Confirmed Cases,20,Clustering Coefficient,0.5,30day,MSVSymptoms-0.5,49.69435897435903
,,Confirmed Cases,15,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,49.70358974358974
,,Confirmed Cases,50,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,49.71410256410254
,,Confirmed Cases,20,Clustering Coefficient,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,49.73021978021975
,,Active Cases,30,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,49.734607815574925
,,Confirmed Cases,30,Clustering Coefficient,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,49.77410256410266
,,Confirmed Cases,15,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,49.79282051282055
MSV,,Confirmed Cases,7,Clustering Coefficient,0.4,15,,49.795115222330345
MSV,,Confirmed Cases,50,Clustering Coefficient,0.6,15,,49.863295346628846
,,Confirmed Cases,30,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,49.87999999999999
MSV,,Confirmed Cases,15,Network Density,0.8,30,,49.90512820512829
,,Confirmed Cases,20,Network Density,0.5,30day,MSVSymptoms-0.5,49.99615384615383
RSV,,Confirmed Cases,30,Clustering Coefficient,0.6,30,,50.04000000000013
,,Confirmed Cases,7,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,50.05487179487188
,,Confirmed Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,50.09256410256417
,,Confirmed Cases,30,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols-0.5,50.16820512820538
,,Active Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,50.22494143004405
RSV,,Confirmed Cases,7,Clustering Coefficient,0.5,15,,50.34159167876153
MSV,,Confirmed Cases,20,Clustering Coefficient,0.4,30,,50.373558663558654
,,Confirmed Cases,15,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,50.42051282051278
,,Confirmed Cases,20,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,50.42128205128211
RSV,,Confirmed Cases,15,Network Density,0.5,15,,50.50948717948715
MSV,,Confirmed Cases,20,Network Density,0.5,15,,50.52497737556556
,,Confirmed Cases,20,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,50.61564102564098
,,Confirmed Cases,30,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,50.62871794871798
RSV,,Confirmed Cases,50,Network Density,0.8,30,,50.68128205128219
,,Active Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,50.68386615258968
MSV,,Confirmed Cases,50,Clustering Coefficient,0.5,30,,50.68483516483534
,,Confirmed Cases,50,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,50.771025641025695
,,Confirmed Cases,20,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,50.89307692307709
,,Confirmed Cases,30,Clustering Coefficient,0.4,30day,MSVFaceWearing&Others-0.5,50.99410256410258
,,Confirmed Cases,30,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,51.088974358974326
,,Confirmed Cases,50,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,51.088974358974326
,,Confirmed Cases,20,Network Density,0.8,30day,MSVSymptoms-0.5,51.091282051282114
,,Confirmed Cases,20,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,51.0917948717949
RSV,,Confirmed Cases,20,Clustering Coefficient,0.6,15,,51.13834384195051
,,Confirmed Cases,30,Network Density,0.6,30day,MSVSymptoms-0.5,51.192051282051274
,,Confirmed Cases,15,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,51.209487179487155
,,Confirmed Cases,50,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,51.22871794871788
RSV,ecq,Confirmed Cases,20,,,,,51.23686505136333
,,Confirmed Cases,20,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,51.269743589743584
,,Confirmed Cases,20,Clustering Coefficient,0.4,30day,MSVSymptoms-0.5,51.279999999999966
,,Confirmed Cases,30,Clustering Coefficient,0.5,15day,MSVSymptoms-0.5,51.292307692307666
,,Active Cases,50,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,51.31548004555896
RSV,,Active Cases,50,Network Density,0.6,30,,51.332704817116166
RSV,Quarantine,Confirmed Cases,50,,,,,51.345123283956674
RSV,,Active Cases,20,Network Density,0.5,15,,51.34750132136291
,,Confirmed Cases,50,Network Density,0.4,30day,MSVSymptoms-0.5,51.36051282051275
RSV,,Confirmed Cases,7,Clustering Coefficient,0.4,15,,51.40095406360423
RSV,,Confirmed Cases,20,Clustering Coefficient,0.4,30,,51.453737811484295
,,Confirmed Cases,15,Clustering Coefficient,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,51.45630036630035
,,Confirmed Cases,7,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,51.46692307692305
