pca_group,metric_type,threshold,window,comparison,radius,dtw_score
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,50,42.308974358974325
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,50,42.469487179487174
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,50,42.61923076923078
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Confirmed Cases,20,42.622820512820454
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,15day,Confirmed Cases,30,42.75897435897444
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,30day,Confirmed Cases,50,42.91769230769265
MSVSymptoms-0.5,Network Density,0.5,30day,Confirmed Cases,50,42.94410256410255
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,20,42.973589743589784
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.5,30day,Confirmed Cases,50,43.0274358974359
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,30,43.12333333333332
MSVSymptoms-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,50,43.13102564102564
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,15,43.26069597069605
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,30day,Confirmed Cases,50,43.39846153846152
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,30,43.44230769230769
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,15day,Confirmed Cases,20,43.49474358974365
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,15day,Confirmed Cases,50,43.530000000000115
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Confirmed Cases,50,43.58974358974361
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,7,43.593630229419716
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,15day,Confirmed Cases,50,43.617039627039645
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Confirmed Cases,7,43.72805860805858
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,20,43.88307692307699
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Confirmed Cases,15,43.917948717948676
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,50,44.027582417582394
MSVSymptoms-0.5,Network Density,0.6,15day,Confirmed Cases,50,44.201282051282064
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.5,30day,Confirmed Cases,30,44.210512820512875
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,30,44.280940170940156
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,15day,Confirmed Cases,30,44.31512820512829
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,30,44.37461538461547
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,50,44.38384615384633
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,50,44.46278388278392
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Active Cases,50,44.472887130674515
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Active Cases,50,44.5503352167407
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,15,44.5761538461539
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,15day,Confirmed Cases,30,44.6081118881119
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,30day,Confirmed Cases,30,44.717948717948694
MSVSymptoms-0.5,Network Density,0.8,30day,Confirmed Cases,50,44.73948717948729
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,15day,Confirmed Cases,15,45.083461538461634
MSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,50,45.30307692307696
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,20,45.3433333333334
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,15,45.60076923076925
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,15day,Confirmed Cases,20,45.75202797202804
MSVSymptoms-0.5,Network Density,0.5,30day,Confirmed Cases,30,45.76051282051294
RSVFaceWearing&Others-0.5,Network Density,0.4,30day,Active Cases,50,45.794899728235414
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,30,45.81794871794876
MSVSymptoms-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,30,45.89743589743601
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,30day,Confirmed Cases,50,45.930512820513194
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,20,46.04162393162393
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Confirmed Cases,30,46.04820512820519
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Confirmed Cases,20,46.245897435897504
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,50,46.33205128205133
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,15day,Confirmed Cases,20,46.39410256410262
MSVSymptoms-0.5,Network Density,0.6,15day,Confirmed Cases,30,46.45333333333348
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,15,46.61051282051285
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,50,46.66282051282059
MSVSymptoms-0.5,Network Density,0.6,30day,Confirmed Cases,50,46.781111111111144
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,30,46.81179487179494
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,20,46.81948717948725
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,30,46.85615384615393
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.4,15day,Confirmed Cases,50,46.90769230769233
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Confirmed Cases,50,47.0284615384615
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,30,47.0486813186813
MSVSymptoms-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,30,47.124358974358984
MSVSymptoms-0.5,Network Density,0.5,15day,Confirmed Cases,50,47.18999999999994
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.5,30day,Confirmed Cases,20,47.287179487179536
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,20,47.29666666666671
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,50,47.33230769230801
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.8,15day,Confirmed Cases,50,47.342564102564076
MSVSymptoms-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,50,47.381794871794945
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Active Cases,30,47.413015248269566
MSVSymptoms-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,50,47.41589743589737
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,30day,Confirmed Cases,20,47.54076923076922
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.8,15day,Confirmed Cases,30,47.55974358974361
MSVSymptoms-0.5,Network Density,0.8,30day,Confirmed Cases,30,47.56743589743601
MSVSymptoms-0.5,Network Density,0.5,15day,Confirmed Cases,30,47.59333333333332
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.6,30day,Confirmed Cases,50,47.63641025641024
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.6,30day,Confirmed Cases,30,47.63641025641024
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.6,30day,Confirmed Cases,20,47.63641025641024
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Confirmed Cases,30,47.6805128205128
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.6,30day,Confirmed Cases,15,47.75128205128203
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,7,47.7615750915751
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,15day,Confirmed Cases,15,47.82051282051292
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,15,47.8407692307693
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,50,47.93289377289397
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,30day,Confirmed Cases,30,47.93794871794893
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,15,48.07752136752134
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,15day,Confirmed Cases,15,48.08121212121216
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Confirmed Cases,7,48.11948717948717
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Confirmed Cases,15,48.125128205128185
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,20,48.15641025641025
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,20,48.167435897435944
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,30day,Confirmed Cases,50,48.55227752639517
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.5,30day,Confirmed Cases,15,48.61384615384621
MSVSymptoms-0.5,Network Density,0.5,15day,Confirmed Cases,20,48.67769230769231
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Active Cases,50,48.70044981726171
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,30,48.80871794871803
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,15day,Active Cases,50,48.81170020322938
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,50,48.841794871794924
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.4,15day,Active Cases,50,48.902627610642504
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.8,15day,Confirmed Cases,20,48.976666666666645
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Active Cases,30,48.98486276436559
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,30day,Confirmed Cases,15,49.07769230769228
MSVSymptoms-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,30,49.17461538461544
MSVSymptoms-0.5,Network Density,0.6,15day,Confirmed Cases,20,49.276410256410244
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.8,15day,Confirmed Cases,15,49.27769230769229
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.6,30day,Confirmed Cases,7,49.49128205128203
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,50,49.578461538461454
MSVSymptoms-0.5,Network Density,0.5,15day,Confirmed Cases,15,49.61461538461536
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Confirmed Cases,20,49.654358974358914
MSVSymptoms-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,20,49.69435897435903
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,15,49.70358974358974
RSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,50,49.71410256410254
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,20,49.73021978021975
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Active Cases,30,49.734607815574925
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,30,49.77410256410266
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,15,49.79282051282055
RSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,30,49.87999999999999
MSVSymptoms-0.5,Network Density,0.5,30day,Confirmed Cases,20,49.99615384615383
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,7,50.05487179487188
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,50,50.09256410256417
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,30day,Confirmed Cases,30,50.16820512820538
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Active Cases,50,50.22494143004405
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Confirmed Cases,15,50.42051282051278
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,20,50.42128205128211
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,20,50.61564102564098
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,30,50.62871794871798
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Active Cases,20,50.68386615258968
RSVFaceWearing&Others-0.5,Network Density,0.4,30day,Confirmed Cases,50,50.771025641025695
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,30day,Confirmed Cases,20,50.89307692307709
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,30,50.99410256410258
MSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,30,51.088974358974326
MSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,50,51.088974358974326
MSVSymptoms-0.5,Network Density,0.8,30day,Confirmed Cases,20,51.091282051282114
MSVSymptoms-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,20,51.0917948717949
MSVSymptoms-0.5,Network Density,0.6,30day,Confirmed Cases,30,51.192051282051274
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,15,51.209487179487155
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,15day,Confirmed Cases,50,51.22871794871788
RSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,20,51.269743589743584
MSVSymptoms-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,20,51.279999999999966
MSVSymptoms-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,30,51.292307692307666
RSVFaceWearing&Others-0.5,Network Density,0.4,15day,Active Cases,50,51.31548004555896
MSVSymptoms-0.5,Network Density,0.4,30day,Confirmed Cases,50,51.36051282051275
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,15,51.45630036630035
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Confirmed Cases,7,51.46692307692305
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,15day,Active Cases,50,51.49939564054066
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.4,15day,Confirmed Cases,30,51.50532887402456
MSVSymptoms-0.5,Network Density,0.8,15day,Confirmed Cases,50,51.53736263736277
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,7,51.58410256410259
RSVFaceWearing&Others-0.5,Network Density,0.4,30day,Active Cases,30,51.61956470808739
MSVSymptoms-0.5,Network Density,0.6,15day,Confirmed Cases,15,51.64871794871796
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.4,15day,Active Cases,30,51.849968588298985
MSVSymptoms-0.5,Network Density,0.4,30day,Confirmed Cases,30,51.94641025641018
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,15day,Confirmed Cases,7,51.98012820512831
MSVSymptoms-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,15,52.10025641025644
MSVSymptoms-0.5,Network Density,0.5,30day,Confirmed Cases,15,52.247179487179466
RSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,15,52.29743589743593
MSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,20,52.29897435897438
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,30,52.341538461538654
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.6,30day,Confirmed Cases,50,52.34435897435897
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,30day,Confirmed Cases,30,52.351040723981896
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Active Cases,15,52.39178949623132
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,50,52.47794871794902
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,30,52.50201465201478
MSVSymptoms-0.5,Network Density,0.5,30day,Active Cases,50,52.508237278605506
RSVFaceWearing&Others-0.5,Network Density,0.5,15day,Active Cases,50,52.56023080030947
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Active Cases,20,52.56709774154247
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,20,52.5783150183151
MSVSymptoms-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,15,52.64256410256415
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,7,52.65410256410258
RSVFaceWearing&Others-0.5,Network Density,0.5,15day,Confirmed Cases,50,52.655967365967385
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Active Cases,50,52.683388277979276
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,20,52.75384615384618
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,30day,Confirmed Cases,15,52.75871794871806
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,30day,Confirmed Cases,20,52.80641025641041
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,15,52.81230769230774
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,7,52.90000000000001
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Confirmed Cases,50,52.9389743589743
MSVSymptoms-0.5,Network Density,0.4,30day,Confirmed Cases,20,53.03641025641024
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,15,53.063076923076906
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Confirmed Cases,7,53.11205128205128
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,15day,Confirmed Cases,7,53.366037296037334
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Active Cases,50,53.3885249742292
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Active Cases,30,53.3885249742292
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,30day,Confirmed Cases,7,53.393846153846155
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Active Cases,30,53.450271764595655
MSVSymptoms-0.5,Network Density,0.4,30day,Confirmed Cases,15,53.57384615384617
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,30day,Active Cases,50,53.6249937984752
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,50,53.62871794871808
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.8,15day,Confirmed Cases,50,53.675641025641184
MSVSymptoms-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,15,53.71435897435894
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.5,30day,Active Cases,50,53.71723362384035
MSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,15,53.73743589743589
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Confirmed Cases,30,53.753846153846105
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Active Cases,20,53.82199432744481
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,15day,Confirmed Cases,50,53.85641025641023
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Active Cases,20,53.88625714553461
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.5,30day,Confirmed Cases,7,54.04256410256416
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,15day,Confirmed Cases,30,54.063589743589695
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.6,30day,Active Cases,50,54.06473151532188
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,7,54.09435897435899
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,15,54.10047619047627
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,15day,Active Cases,30,54.2821612286069
MSVSymptoms-0.5,Network Density,0.8,30day,Confirmed Cases,15,54.28743589743594
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,7,54.310854700854705
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Active Cases,50,54.39349639209065
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,15,54.429230769230834
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,7,54.44307692307694
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,30day,Confirmed Cases,15,54.45205128205141
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,30day,Active Cases,50,54.583544185174766
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,15day,Confirmed Cases,7,54.586153846153934
MSVSymptoms-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,20,54.60974358974358
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Active Cases,15,54.61922500234279
MSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,30,54.67564102564103
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,15day,Active Cases,50,54.67657006449242
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,30,54.708717948717954
MSVFaceWearing&Others-0.5,Network Density,0.4,30day,Active Cases,50,54.72696359960914
RSVFaceWearing&Others-0.5,Network Density,0.4,30day,Active Cases,20,54.76720785305979
RSVFaceWearing&Others-0.5,Network Density,0.5,15day,Active Cases,30,54.97802443218618
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,30day,Active Cases,30,55.010269724982976
RSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,7,55.02230769230772
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,20,55.06633699633713
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Active Cases,50,55.128250366631676
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,20,55.14333333333327
MSVSymptoms-0.5,Network Density,0.8,15day,Confirmed Cases,30,55.17963369963379
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.8,15day,Confirmed Cases,7,55.237692307692285
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Active Cases,15,55.27220972729826
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Active Cases,7,55.2793853836164
MSVSymptoms-0.5,Network Density,0.6,30day,Confirmed Cases,20,55.38606837606839
MSVSymptoms&NewNormalProtocols-0.6,Network Density,0.5,30day,Active Cases,30,55.4537063068129
MSVSymptoms-0.5,Network Density,0.4,30day,Confirmed Cases,7,55.47589743589747
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Active Cases,50,55.55023896542036
MSVSymptoms-0.5,Network Density,0.6,15day,Confirmed Cases,7,55.61076923076919
