source,tag,comparison,radius,metric_type,threshold,window,pca_group,dtw_score
,,Active Cases,30,Network Density,0.4,30day,MSVFaceWearing&Others-0.5,62.39621403804709
RSV,fever,Active Cases,20,,,,,62.54032418462037
,,Active Cases,20,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,62.5660656636716
MSV,,Active Cases,15,Network Density,0.4,15,,62.6278496658953
,,Active Cases,20,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,62.630033276012234
,,Active Cases,15,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,62.66311029894108
,,Active Cases,7,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,62.74454128010498
,,Active Cases,20,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,62.77243757956089
MSV,,Active Cases,20,Network Density,0.5,30,,62.97180627278055
,,Active Cases,15,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,63.035557689587705
,,Active Cases,20,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,63.06597788398464
,,Active Cases,30,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,63.12718955416096
,,Active Cases,20,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,63.16040515305767
,,Active Cases,30,Network Density,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,63.21643459182939
,,Active Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,63.23325367819327
,,Active Cases,50,Network Density,0.8,30day,MSVSymptoms-0.5,63.29313091556549
,,Active Cases,20,Network Density,0.4,30day,MSVSymptoms-0.5,63.353940586636675
MSV,,Active Cases,15,Clustering Coefficient,0.4,15,,63.39203953883421
RSV,cough,Active Cases,30,,,,,63.39346351498575
,,Active Cases,30,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,63.478024552525554
,,Active Cases,30,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,63.501115171961374
,,Active Cases,50,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,63.55396946890353
,,Active Cases,30,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,63.61473803515195
RSV,fever,Active Cases,15,,,,,63.844548891954
,,Active Cases,30,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,63.91042276168573
RSV,,Active Cases,7,Network Density,0.4,15,,63.9257020504788
MSV,,Active Cases,15,Network Density,0.5,15,,64.01217887159329
MSV,,Active Cases,20,Network Density,0.6,15,,64.16372244679182
,,Active Cases,7,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,64.30758124075741
,,Active Cases,15,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,64.36197378118227
,,Active Cases,50,Clustering Coefficient,0.6,15day,RSVFaceWearing&Others-0.5,64.36998905688186
,,Active Cases,15,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,64.43061244239973
,,Active Cases,30,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,64.48341298847346
,,Active Cases,30,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,64.55242200236735
,,Active Cases,20,Network Density,0.5,15day,MSVSymptoms-0.5,64.5786296536168
,,Active Cases,50,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,64.58737231749595
,,Active Cases,7,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,64.59457373361717
,,Active Cases,15,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,64.65757966019265
RSV,ubo,Active Cases,50,,,,,64.67484224520152
MSV,,Active Cases,15,Network Density,0.5,30,,64.8609413609931
,,Active Cases,20,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,64.8647268297254
RSV,,Active Cases,15,Network Density,0.6,30,,64.8664613082831
,,Active Cases,30,Network Density,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,65.0574569533466
RSV,cough,Active Cases,20,,,,,65.35493351428879
,,Active Cases,50,Clustering Coefficient,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,65.4024224533783
,,Active Cases,30,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,65.54668863307232
RSV,face shield,Active Cases,15,,,,,65.56067958116624
,,Active Cases,7,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,65.58297583783873
RSV,,Active Cases,7,Network Density,0.4,30,,65.67097020681497
MSV,,Active Cases,7,Network Density,0.4,30,,65.85318312849577
,,Active Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,65.89739480835915
,,Active Cases,30,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,65.90253959329014
,,Active Cases,7,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,66.08010964295747
MSV,,Active Cases,15,Network Density,0.6,15,,66.08997720014531
,,Active Cases,30,Clustering Coefficient,0.4,30day,MSVFaceWearing&Others-0.5,66.11339143472956
,,Active Cases,15,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,66.14277481023335
RSV,fever,Active Cases,7,,,,,66.2259631241916
,,Active Cases,20,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,66.24395411334683
,,Active Cases,15,Network Density,0.5,15day,MSVSymptoms-0.5,66.36373137994966
RSV,cough,Active Cases,15,,,,,66.37847400004254
RSV,Frontliners,Active Cases,50,,,,,66.42239146961333
RSV,,Active Cases,50,Clustering Coefficient,0.4,30,,66.48297148649549
RSV,,Active Cases,50,Clustering Coefficient,0.5,30,,66.54626089401175
,,Active Cases,15,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,66.65350342981719
,,Active Cases,15,Network Density,0.4,30day,MSVSymptoms-0.5,66.65872926623558
,,Active Cases,30,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,66.71272608003
,,Active Cases,15,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,66.7161140205909
,,Active Cases,20,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,66.81221385979417
MSV,,Active Cases,7,Network Density,0.4,15,,66.832702922829
,,Active Cases,20,Network Density,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,66.91916932643164
,,Active Cases,7,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,67.01405678942932
,,Active Cases,30,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,67.05047031044754
RSV,,Active Cases,50,Network Density,0.8,15,,67.23417794211947
RSV,work from home,Active Cases,20,,,,,67.27626219531956
,,Active Cases,30,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,67.30864059673489
,,Active Cases,20,Network Density,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,67.30953391249976
,,Active Cases,30,Network Density,0.6,30day,MSVFaceWearing&Others-0.5,67.36521881735543
,,Active Cases,7,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,67.48342125717302
,,Active Cases,20,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,67.48560942745912
RSV,,Active Cases,7,Clustering Coefficient,0.4,15,,67.65351067176948
,,Active Cases,15,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,67.68292568643984
,,Active Cases,30,Clustering Coefficient,0.5,15day,RSVFaceWearing&Others-0.5,67.69818050721194
RSV,sipon,Active Cases,30,,,,,67.82802009654117
,,Active Cases,7,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,67.95967423751782
,,Active Cases,20,Network Density,0.4,30day,MSVFaceWearing&Others-0.5,68.06087259193815
MSV,,Active Cases,7,Network Density,0.5,15,,68.0626814273959
,,Active Cases,20,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,68.11805360322369
,,Active Cases,50,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols2-0.6,68.24023494204614
RSV,lagnat,Active Cases,50,,,,,68.28640081654282
RSV,cough,Active Cases,7,,,,,68.47315368346375
,,Active Cases,15,Network Density,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,68.5242203994333
,,Active Cases,15,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,68.55897670679131
,,Active Cases,20,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,68.59969543622898
RSV,Frontliners,Active Cases,30,,,,,68.65631573852784
RSV,ubo,Active Cases,30,,,,,68.68085886395453
,,Active Cases,20,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,68.73997282354038
,,Active Cases,20,Network Density,0.5,30day,MSVSymptoms-0.5,68.79810233342702
,,Active Cases,15,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,68.89733289411976
MSV,,Active Cases,7,Clustering Coefficient,0.4,15,,68.96567509559091
MSV,,Active Cases,7,Network Density,0.5,30,,69.02974613931508
RSV,,Active Cases,50,Clustering Coefficient,0.5,15,,69.04535178732688
MSV,,Active Cases,50,Network Density,0.6,30,,69.09967504010305
,,Active Cases,7,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,69.22630962421518
,,Active Cases,50,Network Density,0.8,15day,MSVSymptoms&NewNormalProtocols-0.6,69.41914375683949
,,Active Cases,30,Clustering Coefficient,0.5,30day,MSVSymptoms-0.5,69.44696841907971
MSV,,Active Cases,50,Network Density,0.8,30,,69.53220410458246
,,Active Cases,30,Clustering Coefficient,0.4,30day,MSVSymptoms-0.5,69.54567050885571
,,Active Cases,50,Network Density,0.8,30day,MSVSymptoms&NewNormalProtocols-0.6,69.59338393777523
,,Active Cases,30,Network Density,0.8,30day,MSVSymptoms&NewNormalProtocols-0.6,69.59338393777523
,,Active Cases,15,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,69.72003483931485
RSV,,Active Cases,50,Clustering Coefficient,0.6,30,,69.78754099896919
RSV,,Active Cases,30,Clustering Coefficient,0.4,30,,69.80372993277811
,,Active Cases,20,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,69.86316635772829
MSV,,Active Cases,50,Clustering Coefficient,0.4,30,,69.91768897862504
,,Active Cases,20,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,69.9336902015287
,,Active Cases,7,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,70.0120709292717
,,Active Cases,15,Network Density,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,70.03299405945015
,,Active Cases,7,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,70.04262059142467
RSV,,Active Cases,7,Network Density,0.6,30,,70.20762928206972
RSV,work from home,Active Cases,15,,,,,70.22207736453834
MSV,,Active Cases,7,Network Density,0.6,15,,70.29982925487323
,,Active Cases,20,Network Density,0.8,30day,MSVSymptoms&NewNormalProtocols-0.6,70.31473151532185
,,Active Cases,15,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,70.34638271952021
,,Active Cases,30,Network Density,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,70.40009185616456
,,Active Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,70.50023896542027
,,Active Cases,20,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,70.66250977064122
,,Active Cases,50,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols2-0.6,70.66801036246298
,,Active Cases,30,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,70.82288445319072
,,Active Cases,50,Network Density,0.5,15day,MSVFaceWearing&Others-0.5,70.86340882915007
RSV,sipon,Active Cases,20,,,,,71.0643875355261
RSV,,Active Cases,50,Clustering Coefficient,0.6,15,,71.16830069008647
,,Active Cases,50,Clustering Coefficient,0.4,30day,RSVFaceWearing&Others-0.5,71.16915003279915
,,Active Cases,20,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,71.17540530409515
RSV,lagnat,Active Cases,30,,,,,71.17984786648202
,,Active Cases,7,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,71.23591724918302
,,Active Cases,15,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,71.30650475995185
,,Active Cases,30,Clustering Coefficient,0.4,30day,RSVFaceWearing&Others-0.5,71.31810514478488
,,Active Cases,15,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,71.32876487676879
,,Active Cases,20,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,71.3289288726455
RSV,ubo,Active Cases,20,,,,,71.37658513030493
,,Active Cases,7,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,71.5335942559796
,,Active Cases,15,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,71.63664896641667
,,Active Cases,15,Network Density,0.4,30day,MSVFaceWearing&Others-0.5,71.72238510248073
,,Active Cases,7,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,71.72452441195767
,,Active Cases,30,Clustering Coefficient,0.6,15day,RSVFaceWearing&Others-0.5,71.7855148848739
,,Active Cases,30,Network Density,0.8,30day,MSVSymptoms-0.5,71.79448973854362
RSV,headache,Active Cases,50,,,,,71.95200200691505
