pca_group,metric_type,threshold,window,comparison,pearson_correlation,pearson_pvalue,r_squared,kendall_tau,kendall_pvalue,cohens_d,hodges_g
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,-0.01444352042308388,0.7913399712656547,0.00020861528221204114,0.013928776207051666,0.7545910645281373,1.4545732715759954,1.4529540805501224
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,30day,Active Cases,-0.02929525276525821,0.5914702514063238,0.0008582118345803687,-0.005934978627503981,0.8940072845503185,2.021220379115272,2.0189704120884278
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,-0.09409545210091555,0.07789690573393142,0.008853954106075692,-0.2116782603661477,4.622028433760901e-08,1.1984024219987641,1.1971216214052491
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Active Cases,-0.1979979570568216,0.00018502130085673048,0.039203190998674975,-0.1937139099153484,5.639381841413057e-07,0.3123724978193873,0.3120386476257791
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,15day,Confirmed Cases,-0.03801077601723313,0.4771674729742005,0.0014448190934322651,-0.03915209245026447,0.3063512696556595,0.786388027126163,0.7855475696693127
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,15day,Active Cases,-0.05132929019517346,0.3369392021404671,0.0026346960319403303,0.006989640006937413,0.8550507845601084,-0.9962385575174483,-0.9951738209044977
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.8,15day,Confirmed Cases,-0.12465320093543056,0.019308822119009784,0.015538420503448825,-0.10147410147223185,0.017122967295067328,1.3324244665192733,1.331000428970446
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.8,15day,Active Cases,-0.20250950335554735,0.0001304475616514002,0.041010098949310445,-0.13938731368603743,0.0010531533657335038,0.9906002033933875,0.9895414928090697
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,15day,Confirmed Cases,-0.03972120916016195,0.457555304028227,0.0015777744571453334,0.0199924290450601,0.6185426191221794,1.1326498996587178,1.1314393725126628
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,15day,Active Cases,-0.07153822044963146,0.18053219371523738,0.005117716985100068,0.06811217198952794,0.08970863551276989,0.05522777536711473,0.05516875031328453
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Confirmed Cases,0.07672230085599978,0.15994006486267,0.005886311448638545,0.06451116753488614,0.0970346178938882,0.7839679952043055,0.7830927052952571
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,30day,Active Cases,0.12369977793918974,0.023139840097875307,0.015301635062204852,0.09974351188402508,0.010273623141005522,-0.9283495179032902,-0.9273130279316825
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.8,30day,Confirmed Cases,-0.2295481805521385,2.0882222540038105e-05,0.052692367194797175,-0.28094258142944395,1.9013963446121465e-10,1.3811071573375882,1.3795651694432773
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.8,30day,Active Cases,-0.28345539973949924,1.202141726854701e-07,0.08034696364147931,-0.30547546728252994,4.284794004963473e-12,1.126016613586244,1.1247594309138365
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Confirmed Cases,0.081966723100911,0.13318855462935322,0.006718543695901416,0.1290894131408258,0.0015186590305865594,1.1346902415627853,1.1334233748993359
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Active Cases,0.1246696684924955,0.022075592331548186,0.015542526242028724,0.17827776567885747,1.182506095148481e-05,-0.0005191094100903518,-0.000518529831292335
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,30day,Confirmed Cases,-0.03287240312524897,0.5475885917039583,0.0010805948872288783,0.09002906505917208,0.03316609118128012,1.272667854921028,1.2712469380751912
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,30day,Active Cases,-0.009650727655984626,0.8598935601462125,9.31365442899865e-05,0.12922639599585467,0.002225006440134215,0.48037536133795267,0.479839028593623
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,15day,Confirmed Cases,-0.06607269504804247,0.21624454774772225,0.004365601030911616,-0.1049877645180667,0.005930755140858652,0.14281425644098433,0.14266162275045247
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.4,15day,Active Cases,-0.08631298398976864,0.1059574555202244,0.007449931205218057,-0.06897395327301586,0.07055438923090128,-3.1702832636566654,-3.1668950022419984
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,30day,Confirmed Cases,-0.0494164319880786,0.3658113685886259,0.002441983750432398,0.06671567450483963,0.11067598016017391,1.1784905583090497,1.1771747891706323
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,30day,Active Cases,-0.05709576691464685,0.295978000985526,0.003259926599571682,0.07841774190917551,0.060717507227654774,0.16169627774734707,0.1615157459895346
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.8,15day,Confirmed Cases,-0.19756901140898273,0.0001911964561064308,0.03903351426912274,-0.3278118057718125,4.485594621642654e-14,1.3962225467985723,1.3947303246252927
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.8,15day,Active Cases,-0.2596803540541784,7.824224448194279e-07,0.06743388628170344,-0.3671700725721519,2.7907698523573207e-17,1.6510406215754305,1.6492760608826174
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,-0.11046169293260123,0.038319903266369464,0.012201785605536286,-0.07638566725915462,0.06685782732913621,1.2558556870749233,1.254513482920586
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,15day,Active Cases,-0.16374300642970196,0.002056209804498449,0.02681177215463742,-0.05361033708842164,0.19821589218607827,0.5371644701377166,0.5365903720221437
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.6,15day,Confirmed Cases,-0.16753796897773954,0.0016080912698921124,0.028068971049186014,-0.275753008271181,1.4669588713123642e-10,1.3653197914664859,1.3638605968193895
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.6,15day,Active Cases,-0.24989923742749942,2.0606699399569413e-06,0.06244962886684573,-0.3291442552759572,1.9745146930845033e-14,1.2633840716893296,1.2620338215236482
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,-0.08688635589500046,0.10364937375784937,0.0075492388407126815,-0.08645559529082089,0.02425059587927705,0.7786063050199287,0.7777741643305592
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.4,15day,Active Cases,-0.12543981513635982,0.01855287599108011,0.01573514722144413,-0.058692075147454496,0.1259890586689556,-0.7223108001248667,-0.7215388256323927
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,-0.08479762694626902,0.1202576198132027,0.00719063753571861,-0.06513959361615211,0.13776705442108278,1.3471712171056602,1.3456671182402649
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,30day,Active Cases,-0.1146340451622023,0.03542022465288289,0.013140964310249836,-0.06995276223365879,0.11086338300010562,0.8010636917157433,0.8001693146874042
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.8,30day,Confirmed Cases,-0.2763879278127485,2.52643084226088e-07,0.07639028664062508,-0.39276622103280623,1.2079308377609184e-18,1.4361734407945776,1.4345699721223097
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.8,30day,Active Cases,-0.3251145375954259,9.777932251562652e-10,0.10569946255588761,-0.41579033498415874,1.0234807802632384e-20,1.7952410903315135,1.7932367273724532
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.6,30day,Confirmed Cases,-0.1756072517401611,0.0012082207523303075,0.03083790686373231,-0.33372349818017166,3.76706575435848e-14,1.3951082251026676,1.393550605201176
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.6,30day,Active Cases,-0.20945201248387169,0.00010715359099186684,0.04387014553354394,-0.3535790280814117,1.0434249619362196e-15,1.163278832464938,1.161980047017452
RSVFaceWearing&Others-0.5,Network Density,0.4,15day,Confirmed Cases,0.19662909641985324,0.00020540814071269822,0.03866300155888794,0.15880423576327632,2.435098434686325e-05,0.49619421942703645,0.49566390854058073
RSVFaceWearing&Others-0.5,Network Density,0.4,15day,Active Cases,0.16370929027588102,0.002060657980643277,0.02680073172263267,0.1418304030587623,0.00016266294090524548,-2.866182058134557,-2.8631188069146054
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,0.5936277449154003,1.8106031628215673e-33,0.35239389953334355,0.3912940472030698,8.091073786584173e-19,1.4424863891897288,1.440875872193983
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Active Cases,0.5922171269015487,2.7957395148033472e-33,0.350721125395525,0.3970518615953492,2.4289286552704826e-19,1.8840921356501552,1.8819885716728755
RSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,0.4783680083466359,1.1276549035241723e-20,0.22883595140952712,0.3183708087771784,4.887817014168097e-14,1.3885588602958454,1.387008552673632
RSVFaceWearing&Others-0.5,Network Density,0.5,30day,Active Cases,0.5314207325512866,5.887571579415665e-26,0.28240799498534613,0.35162790931762034,8.461675130472882e-17,1.408969871828592,1.4073967755816674
RSVFaceWearing&Others-0.5,Network Density,0.4,30day,Confirmed Cases,0.18527756946460294,0.0006302555871549931,0.034327777746710766,0.08286888060767773,0.03480425342373456,1.1859567507405917,1.184632645696966
RSVFaceWearing&Others-0.5,Network Density,0.4,30day,Active Cases,0.29769826130223814,2.5250519301071595e-08,0.08862425478237566,0.153960600413952,8.762353507970854e-05,0.08640666067575868,0.08631018878069828
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Confirmed Cases,0.1881154275354957,0.0003873794279823089,0.035387414076862335,0.11009699827061203,0.006147742954134033,1.3031629502088544,1.301770186101043
RSVFaceWearing&Others-0.5,Network Density,0.6,15day,Active Cases,0.16290719991691355,0.002169104068011958,0.026538755784769236,0.10645709942765003,0.008046120862441745,0.9868839880379893,0.9858292491836558
RSVFaceWearing&Others-0.5,Network Density,0.5,15day,Confirmed Cases,0.15765403638128486,0.0030179860056100552,0.02485479518731149,0.13035690095643543,0.0006398018477644392,1.0310192108765783,1.0299173022080248
RSVFaceWearing&Others-0.5,Network Density,0.5,15day,Active Cases,0.15866678722232888,0.002833959135816126,0.02517514936745579,0.13141764149415933,0.000575041562162084,-0.5243152847674095,-0.5237549193045302
RSVFaceWearing&Others-0.5,Network Density,0.8,15day,Confirmed Cases,-0.057008898929580845,0.2861321803685674,0.003250014557163164,-0.002546522794849217,0.9534888212887946,1.416129263185958,1.414615765576568
RSVFaceWearing&Others-0.5,Network Density,0.8,15day,Active Cases,-0.055471777415976975,0.2993444489774253,0.0030771180896876933,0.0013760196207618283,0.9748488130283346,1.9136955057415073,1.9116502308867782
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,0.22224298379476248,2.5815086120893358e-05,0.04939194384599906,0.09837422195715904,0.023914577979496768,1.4166038212447063,1.415089816448221
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Active Cases,0.1890936592137176,0.00036064002549989057,0.03575641195483357,0.08018006979692749,0.06555881433249289,1.9191140289751722,1.9170629630375429
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,0.10645554061931886,0.04594986727242191,0.011332782128551449,0.10290697015851573,0.013740920276979148,1.3832483475931703,1.3817699916819557
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Active Cases,0.10379463809965739,0.0516918007809069,0.01077332689823885,0.10303000297949247,0.013596057067324628,1.6104119873088452,1.6086908487402927
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,0.14396365321808735,0.008125662364034305,0.020725533447897713,0.09298751183037,0.03441812427646362,1.43971688501982,1.4381094601388897
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Active Cases,0.2626827346587724,1.006084104485558e-06,0.06900221908781103,0.144259416294201,0.0010291727605697396,1.8800526584712507,1.8779536045168725
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,0.04924295945217397,0.3674986752508176,0.0024248690556084493,0.018282181444385214,0.6820412053852358,1.4561783098672996,1.4545525060230116
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,30day,Active Cases,-0.014041685876710504,0.7973131055058684,0.00019716894226021124,0.019413175077981022,0.6634459572068967,2.0191690015324752,2.016914626019041
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,0.09788546725531935,0.0665992005813343,0.009581564699792197,0.11335014281092708,0.0025731201584276325,1.165492870042325,1.1642472417522904
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Active Cases,0.07745472200810691,0.14700558558345778,0.005999233961353121,0.11374008563471272,0.002477967643533037,0.14538287119368373,0.14522749227897727
MSVSymptoms-0.5,Network Density,0.4,30day,Confirmed Cases,-0.01704690074587111,0.7548390335387916,0.00029059682503958104,-0.13290851905895504,0.0007879530438807704,0.9881871059818332,0.9870870832293489
MSVSymptoms-0.5,Network Density,0.4,30day,Active Cases,-0.014842983926196235,0.7857073638918279,0.0002203141718333198,-0.15798341225034607,6.563482524199262e-05,-0.43209644149112536,-0.43161544359707216
MSVSymptoms-0.5,Network Density,0.6,15day,Confirmed Cases,-0.13170898272856751,0.013395691331106001,0.017347256131394095,-0.1824062853546708,9.456485419840822e-06,1.2226008842740725,1.2212942214123617
MSVSymptoms-0.5,Network Density,0.6,15day,Active Cases,-0.21937911744204225,3.296333827296541e-05,0.04812719716964937,-0.20386562111369566,7.344319192356969e-07,0.40032646651859366,0.3998986149334295
MSVSymptoms-0.5,Network Density,0.8,15day,Confirmed Cases,-0.13415461496908299,0.011755185482709025,0.017997460717502904,-0.19181775705938034,9.34931045397664e-06,1.3882564058492863,1.386772697542358
MSVSymptoms-0.5,Network Density,0.8,15day,Active Cases,-0.1767814905252498,0.0008647517197846732,0.031251695392328985,-0.2199752466622993,3.695766462764013e-07,1.4550267985130132,1.4534717289029173
MSVSymptoms-0.5,Network Density,0.5,15day,Confirmed Cases,-0.07927585520148289,0.13770454977943933,0.006284661217926482,-0.09450239671391095,0.014948033833739065,0.9358661215907973,0.9348659084220148
MSVSymptoms-0.5,Network Density,0.5,15day,Active Cases,-0.21404543195711642,5.1528767685638886e-05,0.045815446941708554,-0.1488425025935537,0.00012590833112173045,-0.5924854189257677,-0.5918521961766485
MSVSymptoms-0.5,Network Density,0.4,15day,Confirmed Cases,0.09385496979996806,0.07866324917002407,0.008808755356152916,-0.010372586295292472,0.7856125151177611,0.3412844756039822,0.34091972554099254
MSVSymptoms-0.5,Network Density,0.4,15day,Active Cases,-0.061774849227696806,0.24768903653293864,0.0038161319971046727,-0.0821986511658534,0.031057717004237692,-2.5009537089990443,-2.4982807980168578
MSVSymptoms-0.5,Network Density,0.6,30day,Confirmed Cases,-0.1335044484727492,0.01403516139627655,0.017823437762012947,-0.25476148886858596,3.3913446247515338e-09,1.337556245669747,1.3360673147840294
MSVSymptoms-0.5,Network Density,0.6,30day,Active Cases,-0.19059487545161777,0.00042602314566745557,0.03632640654841769,-0.3094238811099941,6.866802590089066e-13,0.8065393722847917,0.8056415548017288
MSVSymptoms-0.5,Network Density,0.5,30day,Confirmed Cases,-0.08013973557372214,0.14149170358974353,0.006422377217826106,-0.2211031424271836,1.1145783917701867e-07,1.2171411613268033,1.215786273206588
MSVSymptoms-0.5,Network Density,0.5,30day,Active Cases,-0.14101633481890175,0.009433421793944003,0.0198856066857566,-0.2712751916942955,7.353805206833021e-11,0.2738069976014637,0.2735022031699964
MSVSymptoms-0.5,Network Density,0.8,30day,Confirmed Cases,-0.05696577873027534,0.2963597795195353,0.0032450999463466907,-0.11247563932371332,0.011153149981232107,1.4350215869251124,1.4334241602977376
MSVSymptoms-0.5,Network Density,0.8,30day,Active Cases,-0.08671078623689889,0.11155305859709429,0.0075187604498211736,-0.13202745544627179,0.0028828851724466685,1.7452938493349723,1.743351036144618
MSVSymptoms-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,-0.12666526401343975,0.017426572309621146,0.016044089107594396,-0.23599356966905072,5.104221142936568e-08,1.3678506463333167,1.366388746818176
MSVSymptoms-0.5,Clustering Coefficient,0.6,15day,Active Cases,-0.173466551812013,0.0010840523362689292,0.030090644597549794,-0.2701326900167855,4.4361124621247684e-10,1.1397840561035795,1.13856590428017
MSVSymptoms-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,-0.1215496710068921,0.022558777795027764,0.014774322521883706,-0.10091697453921011,0.018331527398460487,1.3005682654629207,1.2991782744417633
MSVSymptoms-0.5,Clustering Coefficient,0.5,15day,Active Cases,-0.19681360120027847,0.00020254273430728582,0.03873559361742225,-0.13697125548521127,0.0013614721185867505,0.713193117481714,0.7124308875734685
MSVSymptoms-0.5,Clustering Coefficient,0.8,15day,Confirmed Cases,-0.09424377372528084,0.07742727585551505,0.008881888885981935,-0.15464633383227705,0.0003870797552439549,1.4105353571647787,1.4090278380798145
MSVSymptoms-0.5,Clustering Coefficient,0.8,15day,Active Cases,-0.12131411685768868,0.02282372950065994,0.014717114948960946,-0.1773318737561765,4.686823945757642e-05,1.795222917907234,1.7933042614221177
MSVSymptoms-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,-0.06611221674075121,0.22540433757326925,0.004370825202376065,-0.23751349548910874,3.2936631543177106e-08,1.2769889661731968,1.275567457119943
MSVSymptoms-0.5,Clustering Coefficient,0.4,30day,Active Cases,-0.12975457313410382,0.016997123494918838,0.016836249249213498,-0.3058242108478976,1.1082931663813345e-12,0.4872660172095817,0.4867236060586991
MSVSymptoms-0.5,Clustering Coefficient,0.6,30day,Confirmed Cases,-0.1336087125332054,0.013959730195063271,0.017851288064780715,-0.23882557087674872,6.778732014005407e-08,1.4258016302304979,1.4242144670057515
MSVSymptoms-0.5,Clustering Coefficient,0.6,30day,Active Cases,-0.17471005800637066,0.0012599709867562765,0.030523604368589398,-0.27382648948365407,6.02320826379802e-10,1.514577604225962,1.5128916180245973
MSVSymptoms-0.5,Clustering Coefficient,0.8,30day,Confirmed Cases,-0.10074061206571347,0.06432202186584102,0.010148670919374575,-0.13508798073178765,0.002432109073843531,1.4516674981668714,1.4500515417681699
MSVSymptoms-0.5,Clustering Coefficient,0.8,30day,Active Cases,-0.1355799394767658,0.012599152040530272,0.01838191998852348,-0.17098888515945102,0.00012375916649031633,1.9866811642441828,1.9844696453229465
MSVSymptoms-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,-0.08034874365774139,0.1404531536620847,0.006455920607377437,-0.25222461822062453,7.911845582461932e-09,1.3725281459223804,1.371000285277569
MSVSymptoms-0.5,Clustering Coefficient,0.5,30day,Active Cases,-0.15316813355933673,0.004769520907262351,0.023460477138050814,-0.27998149777451997,1.4807459544478516e-10,0.9769670506568272,0.9758795177618474
MSVSymptoms-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,0.011919187542517837,0.8236629324839249,0.0001420670316737124,-0.031336857017831475,0.4232759120057409,0.9829750589782622,0.9819244978179719
MSVSymptoms-0.5,Clustering Coefficient,0.4,15day,Active Cases,-0.12434739854818028,0.019609857713682927,0.015462275525699986,-0.10504805349393317,0.007248258761251325,-0.3353359151155727,-0.3349775226163398
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,15day,Confirmed Cases,-0.1175940457368872,0.02737897991236577,0.013828359592769119,-0.12454062446167728,0.0008883036115246222,0.8801284833838354,0.879187840188199
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,15day,Active Cases,-0.12495709949508685,0.019013652415865008,0.015614276714225033,-0.05663009462368305,0.1305726549528095,-0.9102778275082768,-0.9093049619997179
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.8,15day,Confirmed Cases,-0.14151048679981643,0.00783912001697003,0.02002521787432102,-0.11951647622055404,0.00487438602608593,1.3771556903806088,1.3756838460374874
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.8,15day,Active Cases,-0.21720793866584853,3.959023111687757e-05,0.04717928861946702,-0.1464492459781499,0.0005589001702626906,1.4747088855946036,1.473132780622468
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,15day,Confirmed Cases,-0.12963842261499575,0.0149387706514919,0.016806120618104242,-0.07937231968514724,0.040796958061517986,1.1749246832542142,1.1736689746508073
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,15day,Active Cases,-0.15780471225712273,0.0029899365892740587,0.0249023272105533,-0.005800420184279976,0.8811273870610292,0.2018268724847673,0.20161116866665033
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,30day,Confirmed Cases,-0.05448136461235539,0.31868219357109473,0.0029682190900244105,-0.03404769577688787,0.3709869023177782,0.9070221112848549,0.906009433080964
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,30day,Active Cases,-0.006584619259744545,0.9041427487584356,4.3357210795798804e-05,0.01858239028992688,0.6252536210470883,-0.7890825444378878,-0.7882015442021924
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.8,30day,Confirmed Cases,-0.21658710029540448,6.099604174899747e-05,0.0469099720143716,-0.28032639111950924,1.907747222987447e-10,1.4192649681236047,1.4176803775376832
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.8,30day,Active Cases,-0.27046507111218243,4.6337430106772143e-07,0.0731513546917179,-0.3069283138861415,3.055634446676773e-12,1.5598720076657382,1.5581304311778343
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Confirmed Cases,-0.041979649736712615,0.44241635004974267,0.0017622909920170756,-0.008895824514193287,0.8228808953141968,1.2145708203005214,1.2132147680262744
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.5,30day,Active Cases,-0.017416427058680906,0.7500607056434829,0.0003033319314903524,0.06810684764134471,0.08647782493542433,0.2486257657111806,0.2483481783285481
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,30day,Confirmed Cases,-0.07193548400918191,0.18771778484935375,0.005174713859635267,0.04167930895603422,0.31675119713603506,1.3351790658738683,1.3336883560868857
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.6,30day,Active Cases,-0.06573330527835033,0.22877455798561433,0.0043208674228168,0.10573918724890231,0.011062958138485065,0.8294622262047036,0.8285361425878021
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,15day,Confirmed Cases,-0.0904537246875538,0.09017009986840825,0.00818187630985178,-0.13844888041697048,0.00019407780100021203,0.2637294482194474,0.2634475856100215
RSVSymptoms&NewNormalProtocols-0.5,Network Density,0.4,15day,Active Cases,-0.11014105880252659,0.03888830635412341,0.01213105283414162,-0.09422881337959078,0.011173927717037431,-3.1864734350838866,-3.183067870315361
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,-0.13349181926844678,0.012181260818744837,0.01782006581159966,-0.1356318625127399,0.00022711286803029303,0.9240155500341032,0.9230280022428305
RSVSymptoms&NewNormalProtocols-0.5,Clustering Coefficient,0.4,15day,Active Cases,-0.16184250305753312,0.0023211028471810113,0.026192995795927616,-0.08882382562137614,0.01572399147477378,-0.5851913122155884,-0.5845658850917385
