date,confirmed_cases
2020-09-20,1266
2020-09-21,1203
2020-09-22,539
2020-09-23,1142
2020-09-24,747
2020-09-25,1021
2020-09-26,1047
2020-09-27,987
2020-09-28,1098
2020-09-29,562
2020-09-30,824
2020-10-01,874
2020-10-02,1017
2020-10-03,996
2020-10-04,1190
2020-10-05,772
2020-10-06,504
2020-10-07,947
2020-10-08,811
2020-10-09,1033
2020-10-10,619
2020-10-11,737
2020-10-12,1280
2020-10-13,559
2020-10-14,589
2020-10-15,545
2020-10-16,911
2020-10-17,703
2020-10-18,765
2020-10-19,742
2020-10-20,374
2020-10-21,356
2020-10-22,463
2020-10-23,472
2020-10-24,538
2020-10-25,540
2020-10-26,369
2020-10-27,342
2020-10-28,543
2020-10-29,472
2020-10-30,520
2020-10-31,456
2020-11-01,561
2020-11-02,600
2020-11-03,386
2020-11-04,208
2020-11-05,551
2020-11-06,509
2020-11-07,535
2020-11-08,632
2020-11-09,461
2020-11-10,341
2020-11-11,380
2020-11-12,301
2020-11-13,367
2020-11-14,329
2020-11-15,417
2020-11-16,334
2020-11-17,219
2020-11-18,330
2020-11-19,292
2020-11-20,348
2020-11-21,310
2020-11-22,497
2020-11-23,450
2020-11-24,255
2020-11-25,302
2020-11-26,307
2020-11-27,517
2020-11-28,374
2020-11-29,574
2020-11-30,399
2020-12-01,278
2020-12-02,341
2020-12-03,291
2020-12-04,220
2020-12-05,422
2020-12-06,456
2020-12-07,372
2020-12-08,309
2020-12-09,342
2020-12-10,311
2020-12-11,296
2020-12-12,338
2020-12-13,361
2020-12-14,502
2020-12-15,262
2020-12-16,270
2020-12-17,356
2020-12-18,658
2020-12-19,424
2020-12-20,454
2020-12-21,566
2020-12-22,310
2020-12-23,418
2020-12-24,481
2020-12-25,504
2020-12-26,355
2020-12-27,215
2020-12-28,181
2020-12-29,203
2020-12-30,289
2020-12-31,533
2021-01-01,377
2021-01-02,151
2021-01-03,191
2021-01-04,263
2021-01-05,160
2021-01-06,258
2021-01-07,387
2021-01-08,421
2021-01-09,405
2021-01-10,476
2021-01-11,465
2021-01-12,350
2021-01-13,322
2021-01-14,432
2021-01-15,381
2021-01-16,439
2021-01-17,463
2021-01-18,410
2021-01-19,281
2021-01-20,291
2021-01-21,434
2021-01-22,577
2021-01-23,364
2021-01-24,410
2021-01-25,315
2021-01-26,171
2021-01-27,394
2021-01-28,284
2021-01-29,346
2021-01-30,464
2021-01-31,395
2021-02-01,383
2021-02-02,255
2021-02-03,359
2021-02-04,215
2021-02-05,488
2021-02-06,350
2021-02-07,367
2021-02-08,371
2021-02-09,315
2021-02-10,287
2021-02-11,352
2021-02-12,429
2021-02-13,449
2021-02-14,417
2021-02-15,358
2021-02-16,203
2021-02-17,385
2021-02-18,515
2021-02-19,523
2021-02-20,580
2021-02-21,598
2021-02-22,672
2021-02-23,344
2021-02-24,465
2021-02-25,868
2021-02-26,899
2021-02-27,995
2021-02-28,846
2021-03-01,844
2021-03-02,787
2021-03-03,713
2021-03-04,1003
2021-03-05,1259
2021-03-06,1413
2021-03-07,1471
2021-03-08,1609
2021-03-09,1204
2021-03-10,1462
2021-03-11,1901
2021-03-12,2067
2021-03-13,2269
2021-03-14,2231
2021-03-15,2716
2021-03-16,2160
2021-03-17,2380
2021-03-18,2656
2021-03-19,3618
2021-03-20,3855
2021-03-21,4198
2021-03-22,3929
2021-03-23,3480
2021-03-24,3599
2021-03-25,4680
2021-03-26,5141
2021-03-27,4927
2021-03-28,4856
2021-03-29,5118
2021-03-30,4800
2021-03-31,2850
2021-04-01,4775
2021-04-02,7591
2021-04-03,6431
2021-04-04,5536
2021-04-05,3690
2021-04-06,3598
2021-04-07,3077
2021-04-08,4146
2021-04-09,5496
2021-04-10,5710
2021-04-11,5388
2021-04-12,4893
2021-04-13,3801
2021-04-14,3623
2021-04-15,5138
2021-04-16,4950
2021-04-17,4461
2021-04-18,4475
2021-04-19,3705
2021-04-20,2696
2021-04-21,3977
2021-04-22,4048
2021-04-23,3367
2021-04-24,3501
2021-04-25,2707
2021-04-26,3332
2021-04-27,2815
2021-04-28,2882
2021-04-29,3283
2021-04-30,2942
2021-05-01,3130
2021-05-02,2817
2021-05-03,2308
2021-05-04,1754
2021-05-05,1556
2021-05-06,1942
2021-05-07,2062
