date,rashes
2020-06-15,39.0
2020-06-16,67.0
2020-06-17,52.0
2020-06-18,42.0
2020-06-19,49.0
2020-06-20,51.0
2020-06-21,35.66300200050573
2020-06-22,80.0
2020-06-23,65.0
2020-06-24,85.0
2020-06-25,75.0
2020-06-26,74.0
2020-06-27,78.81135530271597
2020-06-28,54.64265429962871
2020-06-29,68.0
2020-06-30,64.45086735886095
2020-07-01,77.7041393497497
2020-07-02,54.250822637972625
2020-07-03,93.0
2020-07-04,85.0
2020-07-05,76.0
2020-07-06,85.97759712475055
2020-07-07,70.0
2020-07-08,74.0
2020-07-09,78.0
2020-07-10,92.0
2020-07-11,96.0
2020-07-12,97.0
2020-07-13,76.0
2020-07-14,77.0
2020-07-15,67.64693332715808
2020-07-16,75.0
2020-07-17,95.87877563298508
2020-07-18,99.38146171439007
2020-07-19,100.0
2020-07-20,79.0
2020-07-21,87.0
2020-07-22,37.0
2020-07-23,58.0
2020-07-24,43.0
2020-07-25,81.59926688720229
2020-07-26,67.4495833918191
2020-07-27,78.0
2020-07-28,59.0
2020-07-29,50.0
2020-07-30,59.0
2020-07-31,48.0
2020-08-01,64.0
2020-08-02,81.0
2020-08-03,62.0
2020-08-04,56.0
2020-08-05,55.0
2020-08-06,70.0
2020-08-07,57.0
2020-08-08,40.0
2020-08-09,55.0
2020-08-10,67.0
2020-08-11,39.0
2020-08-12,81.0
2020-08-13,52.0
2020-08-14,70.0
2020-08-15,89.0
2020-08-16,72.0
2020-08-17,48.0
2020-08-18,53.39184162977377
2020-08-19,70.0
2020-08-20,68.0
2020-08-21,84.0
2020-08-22,93.0
2020-08-23,74.0
2020-08-24,78.0
2020-08-25,87.0
2020-08-26,70.0
2020-08-27,52.0
2020-08-28,57.0
2020-08-29,83.0
2020-08-30,84.0
2020-08-31,72.0
2020-09-01,71.0
2020-09-02,54.0
2020-09-03,61.0
2020-09-04,62.0
2020-09-05,100.0
2020-09-06,82.0
2020-09-07,68.0
2020-09-08,62.0
2020-09-09,69.0
2020-09-10,37.0
2020-09-11,60.0
2020-09-12,66.0
2020-09-13,58.0
2020-09-14,46.902452174519354
2020-09-15,60.0
2020-09-16,29.0
2020-09-17,56.41735780172871
2020-09-18,69.0
2020-09-19,62.0
2020-09-20,54.78819231690515
2020-09-21,51.0
2020-09-22,50.0
2020-09-23,66.0
2020-09-24,59.0
2020-09-25,53.99317405869277
2020-09-26,89.36626603308196
2020-09-27,77.0
2020-09-28,66.0
2020-09-29,47.0
2020-09-30,74.0
2020-10-01,59.0
2020-10-02,57.0
2020-10-03,60.0
2020-10-04,65.0
2020-10-05,50.11639911173544
2020-10-06,82.0
2020-10-07,51.0
2020-10-08,32.0
2020-10-09,33.0
2020-10-10,74.0
2020-10-11,62.0
2020-10-12,45.0
2020-10-13,75.0
2020-10-14,38.0
2020-10-15,68.0
2020-10-16,49.0
2020-10-17,0.0
2020-10-18,90.0
2020-10-19,54.0
2020-10-20,43.0
2020-10-21,47.0
2020-10-22,65.0
2020-10-23,87.0
2020-10-24,37.0
2020-10-25,0.0
2020-10-26,52.38268407883682
2020-10-27,54.0
2020-10-28,56.0
2020-10-29,77.0
2020-10-30,66.0
2020-10-31,72.0
2020-11-01,68.0
2020-11-02,89.0
2020-11-03,73.0
2020-11-04,68.0
2020-11-05,58.0
2020-11-06,73.0
2020-11-07,60.0
2020-11-08,83.0
2020-11-09,56.0
2020-11-10,33.0
2020-11-11,57.0
2020-11-12,61.0
2020-11-13,76.0
2020-11-14,63.234931594957764
2020-11-15,100.0
2020-11-16,70.0
2020-11-17,80.0
2020-11-18,69.0
2020-11-19,55.66194021162156
2020-11-20,100.0
2020-11-21,46.0
2020-11-22,60.0
2020-11-23,56.0
2020-11-24,34.0
2020-11-25,42.0
2020-11-26,55.0
2020-11-27,54.0
2020-11-28,65.0
2020-11-29,0.0
2020-11-30,59.0
2020-12-01,54.0
2020-12-02,52.0
2020-12-03,32.0
2020-12-04,37.0
2020-12-05,61.0
2020-12-06,48.0
2020-12-07,55.0
2020-12-08,49.0
2020-12-09,58.0
2020-12-10,40.0
2020-12-11,64.0
2020-12-12,47.0
2020-12-13,75.0
2020-12-14,68.0
2020-12-15,53.0
2020-12-16,50.0
2020-12-17,58.0
2020-12-18,53.0
2020-12-19,75.0
2020-12-20,54.106693353848954
2020-12-21,95.0
2020-12-22,73.0
2020-12-23,53.0
2020-12-24,98.0
2020-12-25,66.0
2020-12-26,78.0
2020-12-27,84.38474488976924
2020-12-28,100.0
2020-12-29,80.0
2020-12-30,74.0
2020-12-31,43.0
2021-01-01,49.78621419674979
2021-01-02,79.57718187105063
2021-01-03,67.82408657312955
2021-01-04,42.023901206993656
2021-01-05,67.57461746604086
2021-01-06,38.0
2021-01-07,77.0
2021-01-08,62.0
2021-01-09,56.0
2021-01-10,68.0
2021-01-11,39.0
2021-01-12,42.0
2021-01-13,59.0
2021-01-14,82.0
2021-01-15,86.0
2021-01-16,55.0
2021-01-17,51.0
2021-01-18,52.0
2021-01-19,60.0
2021-01-20,49.0
2021-01-21,0.0
2021-01-22,54.167360457425175
2021-01-23,79.0
2021-01-24,53.0
2021-01-25,57.0
2021-01-26,64.0
2021-01-27,44.56451310406965
2021-01-28,82.0
2021-01-29,56.0
2021-01-30,67.0
2021-01-31,59.0
2021-02-01,66.0
2021-02-02,66.0
2021-02-03,76.0
2021-02-04,57.0
2021-02-05,48.0
2021-02-06,83.0
2021-02-07,86.0
2021-02-08,68.0
2021-02-09,46.0
2021-02-10,37.0
2021-02-11,56.0
2021-02-12,78.0
2021-02-13,73.0
2021-02-14,69.52303488254917
2021-02-15,86.0
2021-02-16,89.0
2021-02-17,86.0
2021-02-18,95.0
2021-02-19,82.0
2021-02-20,62.0
2021-02-21,91.0
2021-02-22,76.08784964545119
2021-02-23,64.91585319271209
2021-02-24,63.4108949934722
2021-02-25,51.0
2021-02-26,60.58485280797223
2021-02-27,86.17222990514486
2021-02-28,75.0
2021-03-01,70.0
2021-03-02,71.0
2021-03-03,58.0
2021-03-04,72.0
2021-03-05,59.26330612703444
2021-03-06,100.0
2021-03-07,74.0
2021-03-08,71.0
2021-03-09,84.0
2021-03-10,52.0
2021-03-11,69.0
2021-03-12,77.0
2021-03-13,77.75104461867926
2021-03-14,100.0
2021-03-15,67.0
