date,flu
2020-07-09,72.0
2020-07-10,55.0
2020-07-11,70.0
2020-07-12,64.0
2020-07-13,68.0
2020-07-14,52.0
2020-07-15,64.0
2020-07-16,73.0
2020-07-17,77.0
2020-07-18,85.0
2020-07-19,81.0
2020-07-20,83.0
2020-07-21,65.0
2020-07-22,80.0
2020-07-23,83.0
2020-07-24,78.0
2020-07-25,83.0
2020-07-26,86.0
2020-07-27,82.0
2020-07-28,70.0
2020-07-29,67.0
2020-07-30,92.70431832167225
2020-07-31,87.0
2020-08-01,92.0
2020-08-02,65.0
2020-08-03,68.0
2020-08-04,55.0
2020-08-05,70.0
2020-08-06,68.0
2020-08-07,72.0
2020-08-08,64.0
2020-08-09,55.0
2020-08-10,62.0
2020-08-11,47.0
2020-08-12,67.0
2020-08-13,59.0
2020-08-14,50.0
2020-08-15,55.0
2020-08-16,52.0
2020-08-17,48.0
2020-08-18,46.0
2020-08-19,43.0
2020-08-20,57.0
2020-08-21,43.0
2020-08-22,46.0
2020-08-23,44.0
2020-08-24,48.0
2020-08-25,37.0
2020-08-26,39.0
2020-08-27,36.0
2020-08-28,37.0
2020-08-29,42.36692514568012
2020-08-30,32.0
2020-08-31,44.653582024802155
2020-09-01,47.0
2020-09-02,35.0
2020-09-03,58.0
2020-09-04,47.0
2020-09-05,59.0
2020-09-06,43.96923463192689
2020-09-07,53.0
2020-09-08,36.0
2020-09-09,49.0
2020-09-10,47.0
2020-09-11,46.35405421041122
2020-09-12,60.13565636968917
2020-09-13,47.0
2020-09-14,53.0
2020-09-15,55.0
2020-09-16,64.0
2020-09-17,63.0
2020-09-18,58.0
2020-09-19,51.584234665899395
2020-09-20,50.0
2020-09-21,55.0
2020-09-22,61.0
2020-09-23,55.88962888440885
2020-09-24,64.0
2020-09-25,72.0
2020-09-26,82.0
2020-09-27,59.0
2020-09-28,80.0
2020-09-29,65.0
2020-09-30,65.0
2020-10-01,67.0
2020-10-02,49.0
2020-10-03,77.0
2020-10-04,49.0
2020-10-05,54.24699615639439
2020-10-06,69.0
2020-10-07,86.0
2020-10-08,50.0
2020-10-09,80.0
2020-10-10,65.0
2020-10-11,57.0
2020-10-12,77.0
2020-10-13,56.0
2020-10-14,80.0
2020-10-15,78.0
2020-10-16,83.86764637176036
2020-10-17,46.063328719569064
2020-10-18,65.0
2020-10-19,73.0
2020-10-20,48.0
2020-10-21,92.0
2020-10-22,76.0
2020-10-23,70.0
2020-10-24,81.0
2020-10-25,43.0
2020-10-26,58.77494405633599
2020-10-27,100.0
2020-10-28,66.0
2020-10-29,72.0
2020-10-30,61.0
2020-10-31,42.0
2020-11-01,70.0
2020-11-02,77.0
2020-11-03,76.0
2020-11-04,40.0
2020-11-05,89.0
2020-11-06,77.25790792148649
2020-11-07,100.0
2020-11-08,96.0
2020-11-09,65.0
2020-11-10,53.0
2020-11-11,51.0
2020-11-12,71.0
2020-11-13,53.0
2020-11-14,57.0
2020-11-15,63.0
2020-11-16,71.0
2020-11-17,63.0
2020-11-18,47.0
2020-11-19,46.0
2020-11-20,58.0
2020-11-21,81.0
2020-11-22,59.0
2020-11-23,57.0
2020-11-24,75.0
2020-11-25,71.0
2020-11-26,51.0
2020-11-27,51.0
2020-11-28,73.0
2020-11-29,52.0
2020-11-30,67.0
2020-12-01,50.0
2020-12-02,74.58073244197168
2020-12-03,60.0
2020-12-04,62.0
2020-12-05,52.604985852430616
2020-12-06,58.0
2020-12-07,80.57751918651297
2020-12-08,49.799067231874716
2020-12-09,94.0
2020-12-10,62.0
2020-12-11,68.27045419806568
2020-12-12,79.0
2020-12-13,57.99914891560347
2020-12-14,80.0
2020-12-15,70.0
2020-12-16,64.0
2020-12-17,70.0
2020-12-18,96.0
2020-12-19,66.07712569095595
2020-12-20,100.0
2020-12-21,57.0
2020-12-22,54.0
2020-12-23,60.0
2020-12-24,49.0
2020-12-25,79.0
2020-12-26,52.0
2020-12-27,90.0
2020-12-28,69.0
2020-12-29,87.0
2020-12-30,97.0
2020-12-31,93.0
2021-01-01,67.0
2021-01-02,83.0
2021-01-03,91.0
2021-01-04,36.0
2021-01-05,73.0
2021-01-06,93.0
2021-01-07,85.0
2021-01-08,77.0
2021-01-09,80.0
2021-01-10,84.0
2021-01-11,98.3970582175801
2021-01-12,100.0
2021-01-13,77.16284746652407
2021-01-14,100.0
2021-01-15,87.0
2021-01-16,59.0
2021-01-17,61.0
2021-01-18,72.0
2021-01-19,39.0
2021-01-20,77.0
2021-01-21,85.0
2021-01-22,55.0
2021-01-23,49.0
2021-01-24,69.0
2021-01-25,76.0
2021-01-26,63.0
2021-01-27,85.0
2021-01-28,57.363928051084386
2021-01-29,87.53774504772805
2021-01-30,58.00300291291809
2021-01-31,68.91561881786035
2021-02-01,68.0074878280374
2021-02-02,49.0
2021-02-03,43.910105236432614
2021-02-04,42.0
2021-02-05,55.0
2021-02-06,69.4591890114097
2021-02-07,70.0
2021-02-08,75.0
2021-02-09,62.0
2021-02-10,64.0
2021-02-11,51.0
2021-02-12,50.91272462325275
2021-02-13,49.16607984706723
2021-02-14,0.0
2021-02-15,59.0
2021-02-16,72.0
2021-02-17,47.0
2021-02-18,66.0
2021-02-19,68.38245105871427
2021-02-20,98.4689321677927
2021-02-21,100.0
2021-02-22,61.0
2021-02-23,34.0
2021-02-24,46.0
2021-02-25,38.0
2021-02-26,28.0
2021-02-27,21.0
2021-02-28,20.0
2021-03-01,30.36167634510963
2021-03-02,29.419447478659766
2021-03-03,14.269238521029592
2021-03-04,27.871825057850753
2021-03-05,28.0
2021-03-06,23.0
2021-03-07,27.0
2021-03-08,27.56588930207043
2021-03-09,32.0
2021-03-10,25.0
2021-03-11,37.469045978550895
2021-03-12,37.0
2021-03-13,45.49611563788669
2021-03-14,23.703806321040183
2021-03-15,33.78504605498139
