date,masks
2020-10-08,75.0
2020-10-09,47.0
2020-10-10,74.0
2020-10-11,0.0
2020-10-12,47.0
2020-10-13,86.0
2020-10-14,54.030198853433
2020-10-15,68.0
2020-10-16,43.0
2020-10-17,54.455493839908115
2020-10-18,100.0
2020-10-19,47.10531510754113
2020-10-20,39.0
2020-10-21,68.94789733353902
2020-10-22,71.0
2020-10-23,75.38879058574808
2020-10-24,100.0
2020-10-25,89.0
2020-10-26,84.0
2020-10-27,59.0
2020-10-28,59.0
2020-10-29,0.0
2020-10-30,64.0
2020-10-31,82.0
2020-11-01,79.0
2020-11-02,96.0
2020-11-03,0.0
2020-11-04,56.0
2020-11-05,53.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,72.0
2020-11-09,0.0
2020-11-10,100.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,98.0
2020-11-17,61.0
2020-11-18,0.0
2020-11-19,53.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,48.46282174926346
2020-11-24,0.0
2020-11-25,82.0
2020-11-26,87.0
2020-11-27,77.0
2020-11-28,0.0
2020-11-29,78.0
2020-11-30,68.0
2020-12-01,61.0
2020-12-02,71.0
2020-12-03,73.0
2020-12-04,58.0
2020-12-05,85.0
2020-12-06,64.0
2020-12-07,81.0
2020-12-08,0.0
2020-12-09,100.0
2020-12-10,60.0
2020-12-11,65.0
2020-12-12,66.0
2020-12-13,71.0
2020-12-14,0.0
2020-12-15,79.0
2020-12-16,67.0
2020-12-17,94.0
2020-12-18,57.0
2020-12-19,86.35829314839414
2020-12-20,100.0
2020-12-21,56.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,64.0
2020-12-25,64.0
2020-12-26,0.0
2020-12-27,56.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,82.0
2021-01-02,58.0
2021-01-03,67.0
2021-01-04,80.0
2021-01-05,82.0
2021-01-06,52.0
2021-01-07,52.861649129860076
2021-01-08,45.46768030004764
2021-01-09,55.0
2021-01-10,0.0
2021-01-11,47.0
2021-01-12,46.0
2021-01-13,55.0
2021-01-14,0.0
2021-01-15,100.0
2021-01-16,87.0
2021-01-17,75.0
2021-01-18,51.0
2021-01-19,75.91724792874219
2021-01-20,45.0
2021-01-21,60.0
2021-01-22,84.0
2021-01-23,60.0
2021-01-24,75.0
2021-01-25,84.0
2021-01-26,87.0
2021-01-27,69.0
2021-01-28,85.0
2021-01-29,45.0
2021-01-30,84.66995501908103
2021-01-31,96.27846890194287
2021-02-01,47.01780498956407
2021-02-02,75.44092796113952
2021-02-03,59.89125312855208
2021-02-04,67.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,44.09239331476055
2021-02-08,48.0
2021-02-09,54.0
2021-02-10,38.0
2021-02-11,57.0
2021-02-12,61.482898630029716
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,77.0
2021-02-16,39.95287746030483
2021-02-17,0.0
2021-02-18,52.0
2021-02-19,44.0
2021-02-20,57.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,59.0
2021-02-24,48.0
2021-02-25,78.0
2021-02-26,47.0
2021-02-27,0.0
2021-02-28,95.0
2021-03-01,64.97420852120702
2021-03-02,40.95956680346978
2021-03-03,61.0
2021-03-04,53.0
2021-03-05,55.327100297427556
2021-03-06,55.35358762768256
2021-03-07,56.20709079668406
2021-03-08,0.0
2021-03-09,55.0
2021-03-10,60.369464533542384
2021-03-11,49.09768898578102
2021-03-12,57.840124911397446
2021-03-13,65.47152381449817
2021-03-14,0.0
2021-03-15,55.0
