date,Frontliners
2020-08-23,52.0
2020-08-24,33.0
2020-08-25,34.0
2020-08-26,49.0
2020-08-27,75.0
2020-08-28,69.0
2020-08-29,94.18890488006343
2020-08-30,99.29625145853893
2020-08-31,100.0
2020-09-01,38.0
2020-09-02,53.0
2020-09-03,40.0
2020-09-04,26.0
2020-09-05,27.0
2020-09-06,25.0
2020-09-07,29.0
2020-09-08,27.0
2020-09-09,27.0
2020-09-10,25.0
2020-09-11,48.0
2020-09-12,20.0
2020-09-13,26.0
2020-09-14,33.0
2020-09-15,22.0
2020-09-16,28.705515454565862
2020-09-17,36.0
2020-09-18,22.0
2020-09-19,34.0
2020-09-20,25.0
2020-09-21,35.0
2020-09-22,37.0
2020-09-23,26.0
2020-09-24,29.0
2020-09-25,26.0
2020-09-26,19.0
2020-09-27,0.0
2020-09-28,28.0
2020-09-29,44.0
2020-09-30,36.74863392554094
2020-10-01,49.0
2020-10-02,66.28149179050354
2020-10-03,67.0
2020-10-04,82.45386166055434
2020-10-05,100.39376142312138
2020-10-06,88.77145304232084
2020-10-07,100.0
2020-10-08,98.0
2020-10-09,70.0
2020-10-10,48.505963046909834
2020-10-11,43.637358635551365
2020-10-12,63.0
2020-10-13,61.0
2020-10-14,63.0
2020-10-15,57.17469335837194
2020-10-16,58.91082018674411
2020-10-17,46.0
2020-10-18,55.0
2020-10-19,47.133006488635154
2020-10-20,53.0
2020-10-21,56.0
2020-10-22,49.0
2020-10-23,54.0
2020-10-24,34.0
2020-10-25,29.0
2020-10-26,39.0
2020-10-27,54.0
2020-10-28,47.0
2020-10-29,69.0
2020-10-30,49.0
2020-10-31,34.0
2020-11-01,0.0
2020-11-02,42.0
2020-11-03,48.0
2020-11-04,46.0
2020-11-05,56.0
2020-11-06,22.80302140379974
2020-11-07,42.35939058644115
2020-11-08,45.486792183839
2020-11-09,56.41793449167024
2020-11-10,72.0
2020-11-11,34.07719894901462
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,59.0
2020-11-15,0.0
2020-11-16,57.0
2020-11-17,27.097821967061854
2020-11-18,27.818313054616144
2020-11-19,60.0
2020-11-20,62.0
2020-11-21,0.0
2020-11-22,38.0
2020-11-23,51.0
2020-11-24,61.0
2020-11-25,34.0
2020-11-26,75.0
2020-11-27,48.0
2020-11-28,55.03550130641367
2020-11-29,0.0
2020-11-30,58.0
2020-12-01,75.98802053518675
2020-12-02,100.0
2020-12-03,67.0
2020-12-04,75.0
2020-12-05,0.0
2020-12-06,65.0
2020-12-07,68.0
2020-12-08,65.0
2020-12-09,59.0
2020-12-10,85.0
2020-12-11,52.0
2020-12-12,0.0
2020-12-13,43.0
2020-12-14,35.0
2020-12-15,0.0
2020-12-16,28.0
2020-12-17,43.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,37.0
2021-01-05,35.0
2021-01-06,49.0
2021-01-07,54.0
2021-01-08,31.0
2021-01-09,65.79373672906301
2021-01-10,66.12655986686725
2021-01-11,0.0
2021-01-12,97.0
2021-01-13,69.4575066257453
2021-01-14,100.0
2021-01-15,77.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,99.0
2021-01-19,0.0
2021-01-20,72.60911765830181
2021-01-21,100.0
2021-01-22,43.0
2021-01-23,0.0
2021-01-24,52.0
2021-01-25,52.0
2021-01-26,64.0
2021-01-27,0.0
2021-01-28,90.0
2021-01-29,51.0
2021-01-30,56.0
2021-01-31,0.0
2021-02-01,39.0
2021-02-02,41.0
2021-02-03,72.0
2021-02-04,71.0
2021-02-05,64.0
2021-02-06,0.0
2021-02-07,45.0
2021-02-08,62.0
2021-02-09,0.0
2021-02-10,38.0
2021-02-11,58.0
2021-02-12,51.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,63.0
2021-02-16,0.0
2021-02-17,65.0
2021-02-18,75.0
2021-02-19,48.0
2021-02-20,63.16162830333883
2021-02-21,0.0
2021-02-22,65.0
2021-02-23,78.0
2021-02-24,77.0
2021-02-25,87.0
2021-02-26,0.0
2021-02-27,55.97862480937822
2021-02-28,0.0
2021-03-01,86.0
2021-03-02,85.0
2021-03-03,95.0
2021-03-04,83.0
2021-03-05,64.0
2021-03-06,70.0
2021-03-07,0.0
2021-03-08,90.0
2021-03-09,71.0
2021-03-10,93.0
2021-03-11,83.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,70.0
2021-03-15,0.0
