date,masks
2020-11-05,53
2020-11-06,0
2020-11-07,0
2020-11-08,72
2020-11-09,0
2020-11-10,100
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,98
2020-11-17,61
2020-11-18,0
2020-11-19,52
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,77
2020-11-24,0
2020-11-25,81
2020-11-26,85
2020-11-27,75
2020-11-28,0
2020-11-29,77
2020-11-30,67
2020-12-01,60
2020-12-02,70
2020-12-03,72
2020-12-04,57
2020-12-05,84
2020-12-06,63
2020-12-07,80
2020-12-08,0
2020-12-09,100
2020-12-10,60
2020-12-11,65
2020-12-12,66
2020-12-13,71
2020-12-14,0
2020-12-15,79
2020-12-16,67
2020-12-17,94
2020-12-18,57
2020-12-19,90
2020-12-20,100
2020-12-21,56
2020-12-22,0
2020-12-23,0
2020-12-24,64
2020-12-25,64
2020-12-26,0
2020-12-27,56
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,82
2021-01-02,58
2021-01-03,67
2021-01-04,80
2021-01-05,82
2021-01-06,52
2021-01-07,54
2021-01-08,51
2021-01-09,55
2021-01-10,0
2021-01-11,47
2021-01-12,46
2021-01-13,55
2021-01-14,0
2021-01-15,100
2021-01-16,87
2021-01-17,75
2021-01-18,51
2021-01-19,76
2021-01-20,60
2021-01-21,64
2021-01-22,91
2021-01-23,65
2021-01-24,61
2021-01-25,100
2021-01-26,87
2021-01-27,68
2021-01-28,78
2021-01-29,0
2021-01-30,67
2021-01-31,100
2021-02-01,0
2021-02-02,79
2021-02-03,97
2021-02-04,71
2021-02-05,53
2021-02-06,51
2021-02-07,66
2021-02-08,65
2021-02-09,74
2021-02-10,52
2021-02-11,78
2021-02-12,94
2021-02-13,0
2021-02-14,0
2021-02-15,81
2021-02-16,46
2021-02-17,0
2021-02-18,52
2021-02-19,44
2021-02-20,68
2021-02-21,100
2021-02-22,55
2021-02-23,0
2021-02-24,54
2021-02-25,61
2021-02-26,54
2021-02-27,61
2021-02-28,0
2021-03-01,52
2021-03-02,47
2021-03-03,46
2021-03-04,0
2021-03-05,44
2021-03-06,52
2021-03-07,70
2021-03-08,46
2021-03-09,81
2021-03-10,70
2021-03-11,61
2021-03-12,58
2021-03-13,71
2021-03-14,0
2021-03-15,55
2021-03-16,49
2021-03-17,72
2021-03-18,0
2021-03-19,74
2021-03-20,0
