date,social distancing
2020-08-06,0
2020-08-07,59
2020-08-08,75
2020-08-09,0
2020-08-10,87
2020-08-11,79
2020-08-12,79
2020-08-13,91
2020-08-14,0
2020-08-15,65
2020-08-16,0
2020-08-17,0
2020-08-18,93
2020-08-19,0
2020-08-20,63
2020-08-21,0
2020-08-22,67
2020-08-23,0
2020-08-24,81
2020-08-25,71
2020-08-26,0
2020-08-27,71
2020-08-28,56
2020-08-29,0
2020-08-30,0
2020-08-31,84
2020-09-01,56
2020-09-02,0
2020-09-03,0
2020-09-04,90
2020-09-05,0
2020-09-06,59
2020-09-07,0
2020-09-08,73
2020-09-09,0
2020-09-10,62
2020-09-11,49
2020-09-12,0
2020-09-13,64
2020-09-14,82
2020-09-15,71
2020-09-16,100
2020-09-17,94
2020-09-18,17
2020-09-19,21
2020-09-20,23
2020-09-21,26
2020-09-22,20
2020-09-23,10
2020-09-24,13
2020-09-25,0
2020-09-26,0
2020-09-27,14
2020-09-28,15
2020-09-29,24
2020-09-30,41
2020-10-01,100
2020-10-02,30
2020-10-03,21
2020-10-04,16
2020-10-05,12
2020-10-06,16
2020-10-07,27
2020-10-08,20
2020-10-09,28
2020-10-10,14
2020-10-11,0
2020-10-12,19
2020-10-13,11
2020-10-14,0
2020-10-15,21
2020-10-16,27
2020-10-17,14
2020-10-18,0
2020-10-19,56
2020-10-20,68
2020-10-21,0
2020-10-22,91
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,86
2020-10-27,57
2020-10-28,0
2020-10-29,57
2020-10-30,92
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,100
2020-11-04,0
2020-11-05,0
2020-11-06,80
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,59
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,62
2020-11-20,81
2020-11-21,0
2020-11-22,0
2020-11-23,63
2020-11-24,64
2020-11-25,0
2020-11-26,0
2020-11-27,63
2020-11-28,0
2020-11-29,100
2020-11-30,0
2020-12-01,67
2020-12-02,95
2020-12-03,75
2020-12-04,87
2020-12-05,0
2020-12-06,0
2020-12-07,63
2020-12-08,97
2020-12-09,61
2020-12-10,83
2020-12-11,0
2020-12-12,75
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,90
2020-12-17,81
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,79
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,100
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,99
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,75
2021-01-19,0
2021-01-20,96
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,56
2021-01-27,0
2021-01-28,0
2021-01-29,100
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,84
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,60
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,76
2021-02-23,0
2021-02-24,0
2021-02-25,69
2021-02-26,100
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,61
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,62
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,64
2021-03-17,78
2021-03-18,0
2021-03-19,0
2021-03-20,0
