date,sipon
2020-12-20,67
2020-12-21,68
2020-12-22,67
2020-12-23,71
2020-12-24,79
2020-12-25,0
2020-12-26,59
2020-12-27,67
2020-12-28,78
2020-12-29,72
2020-12-30,90
2020-12-31,0
2021-01-01,93
2021-01-02,75
2021-01-03,63
2021-01-04,63
2021-01-05,62
2021-01-06,61
2021-01-07,64
2021-01-08,67
2021-01-09,97
2021-01-10,100
2021-01-11,89
2021-01-12,81
2021-01-13,58
2021-01-14,56
2021-01-15,60
2021-01-16,72
2021-01-17,55
2021-01-18,49
2021-01-19,76
2021-01-20,60
2021-01-21,52
2021-01-22,56
2021-01-23,39
2021-01-24,66
2021-01-25,47
2021-01-26,0
2021-01-27,43
2021-01-28,93
2021-01-29,47
2021-01-30,61
2021-01-31,100
2021-02-01,51
2021-02-02,62
2021-02-03,65
2021-02-04,60
2021-02-05,76
2021-02-06,0
2021-02-07,84
2021-02-08,68
2021-02-09,66
2021-02-10,51
2021-02-11,66
2021-02-12,61
2021-02-13,69
2021-02-14,63
2021-02-15,52
2021-02-16,77
2021-02-17,67
2021-02-18,50
2021-02-19,44
2021-02-20,98
2021-02-21,82
2021-02-22,60
2021-02-23,34
2021-02-24,72
2021-02-25,81
2021-02-26,49
2021-02-27,53
2021-02-28,69
2021-03-01,51
2021-03-02,69
2021-03-03,75
2021-03-04,72
2021-03-05,60
2021-03-06,40
2021-03-07,94
2021-03-08,80
2021-03-09,49
2021-03-10,73
2021-03-11,53
2021-03-12,92
2021-03-13,62
2021-03-14,54
2021-03-15,89
2021-03-16,63
2021-03-17,48
2021-03-18,83
2021-03-19,100
2021-03-20,86
