date,face shield
2020-11-21,21
2020-11-22,28
2020-11-23,31
2020-11-24,26
2020-11-25,35
2020-11-26,23
2020-11-27,40
2020-11-28,34
2020-11-29,0
2020-11-30,19
2020-12-01,31
2020-12-02,32
2020-12-03,44
2020-12-04,27
2020-12-05,37
2020-12-06,25
2020-12-07,26
2020-12-08,40
2020-12-09,39
2020-12-10,23
2020-12-11,20
2020-12-12,30
2020-12-13,33
2020-12-14,23
2020-12-15,94
2020-12-16,100
2020-12-17,64
2020-12-18,57
2020-12-19,56
2020-12-20,100
2020-12-21,65
2020-12-22,52
2020-12-23,36
2020-12-24,0
2020-12-25,0
2020-12-26,65
2020-12-27,45
2020-12-28,42
2020-12-29,35
2020-12-30,40
2020-12-31,31
2021-01-01,0
2021-01-02,33
2021-01-03,40
2021-01-04,42
2021-01-05,39
2021-01-06,38
2021-01-07,55
2021-01-08,48
2021-01-09,44
2021-01-10,26
2021-01-11,47
2021-01-12,28
2021-01-13,41
2021-01-14,25
2021-01-15,51
2021-01-16,50
2021-01-17,35
2021-01-18,40
2021-01-19,50
2021-01-20,66
2021-01-21,66
2021-01-22,64
2021-01-23,61
2021-01-24,66
2021-01-25,46
2021-01-26,59
2021-01-27,53
2021-01-28,63
2021-01-29,48
2021-01-30,65
2021-01-31,51
2021-02-01,77
2021-02-02,74
2021-02-03,100
2021-02-04,63
2021-02-05,69
2021-02-06,89
2021-02-07,96
2021-02-08,90
2021-02-09,67
2021-02-10,0
2021-02-11,62
2021-02-12,0
2021-02-13,0
2021-02-14,47
2021-02-15,63
2021-02-16,67
2021-02-17,58
2021-02-18,71
2021-02-19,54
2021-02-20,78
2021-02-21,62
2021-02-22,57
2021-02-23,54
2021-02-24,66
2021-02-25,0
2021-02-26,38
2021-02-27,45
2021-02-28,67
2021-03-01,65
2021-03-02,53
2021-03-03,76
2021-03-04,42
2021-03-05,63
2021-03-06,0
2021-03-07,73
2021-03-08,57
2021-03-09,57
2021-03-10,63
2021-03-11,0
2021-03-12,100
2021-03-13,74
2021-03-14,53
2021-03-15,48
2021-03-16,65
2021-03-17,70
2021-03-18,55
2021-03-19,67
2021-03-20,54
