date,Frontliners
2020-08-06,33
2020-08-07,38
2020-08-08,0
2020-08-09,27
2020-08-10,30
2020-08-11,40
2020-08-12,32
2020-08-13,38
2020-08-14,0
2020-08-15,20
2020-08-16,24
2020-08-17,37
2020-08-18,56
2020-08-19,28
2020-08-20,45
2020-08-21,36
2020-08-22,23
2020-08-23,36
2020-08-24,31
2020-08-25,25
2020-08-26,47
2020-08-27,72
2020-08-28,64
2020-08-29,75
2020-08-30,99
2020-08-31,100
2020-09-01,40
2020-09-02,54
2020-09-03,44
2020-09-04,28
2020-09-05,0
2020-09-06,30
2020-09-07,22
2020-09-08,30
2020-09-09,33
2020-09-10,26
2020-09-11,50
2020-09-12,19
2020-09-13,20
2020-09-14,24
2020-09-15,24
2020-09-16,29
2020-09-17,36
2020-09-18,26
2020-09-19,32
2020-09-20,0
2020-09-21,30
2020-09-22,42
2020-09-23,28
2020-09-24,45
2020-09-25,26
2020-09-26,18
2020-09-27,26
2020-09-28,26
2020-09-29,35
2020-09-30,36
2020-10-01,36
2020-10-02,43
2020-10-03,37
2020-10-04,47
2020-10-05,52
2020-10-06,57
2020-10-07,100
2020-10-08,98
2020-10-09,70
2020-10-10,42
2020-10-11,44
2020-10-12,63
2020-10-13,61
2020-10-14,63
2020-10-15,55
2020-10-16,58
2020-10-17,46
2020-10-18,55
2020-10-19,71
2020-10-20,80
2020-10-21,77
2020-10-22,77
2020-10-23,68
2020-10-24,59
2020-10-25,44
2020-10-26,47
2020-10-27,88
2020-10-28,82
2020-10-29,100
2020-10-30,81
2020-10-31,54
2020-11-01,0
2020-11-02,60
2020-11-03,82
2020-11-04,69
2020-11-05,78
2020-11-06,33
2020-11-07,59
2020-11-08,55
2020-11-09,54
2020-11-10,63
2020-11-11,39
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,46
2020-11-17,27
2020-11-18,39
2020-11-19,64
2020-11-20,65
2020-11-21,0
2020-11-22,40
2020-11-23,54
2020-11-24,64
2020-11-25,36
2020-11-26,79
2020-11-27,51
2020-11-28,56
2020-11-29,0
2020-11-30,50
2020-12-01,67
2020-12-02,100
2020-12-03,67
2020-12-04,75
2020-12-05,0
2020-12-06,65
2020-12-07,68
2020-12-08,65
2020-12-09,59
2020-12-10,85
2020-12-11,52
2020-12-12,0
2020-12-13,43
2020-12-14,35
2020-12-15,0
2020-12-16,28
2020-12-17,43
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,65
2021-01-05,61
2021-01-06,86
2021-01-07,94
2021-01-08,54
2021-01-09,81
2021-01-10,65
2021-01-11,0
2021-01-12,92
2021-01-13,68
2021-01-14,100
2021-01-15,77
2021-01-16,0
2021-01-17,0
2021-01-18,99
2021-01-19,0
2021-01-20,61
2021-01-21,100
2021-01-22,43
2021-01-23,0
2021-01-24,52
2021-01-25,52
2021-01-26,64
2021-01-27,0
2021-01-28,90
2021-01-29,51
2021-01-30,56
2021-01-31,0
2021-02-01,39
2021-02-02,41
2021-02-03,72
2021-02-04,71
2021-02-05,64
2021-02-06,0
2021-02-07,45
2021-02-08,62
2021-02-09,0
2021-02-10,38
2021-02-11,58
2021-02-12,51
2021-02-13,0
2021-02-14,0
2021-02-15,63
2021-02-16,0
2021-02-17,65
2021-02-18,75
2021-02-19,48
2021-02-20,76
2021-02-21,0
2021-02-22,47
2021-02-23,43
2021-02-24,89
2021-02-25,67
2021-02-26,39
2021-02-27,49
2021-02-28,0
2021-03-01,68
2021-03-02,80
2021-03-03,100
2021-03-04,79
2021-03-05,45
2021-03-06,54
2021-03-07,0
2021-03-08,46
2021-03-09,63
2021-03-10,60
2021-03-11,77
2021-03-12,54
2021-03-13,0
2021-03-14,0
2021-03-15,54
2021-03-16,35
2021-03-17,59
2021-03-18,54
2021-03-19,60
2021-03-20,0
