date,rashes
2020-09-12,66
2020-09-13,58
2020-09-14,47
2020-09-15,60
2020-09-16,29
2020-09-17,54
2020-09-18,79
2020-09-19,82
2020-09-20,63
2020-09-21,58
2020-09-22,57
2020-09-23,75
2020-09-24,67
2020-09-25,43
2020-09-26,100
2020-09-27,88
2020-09-28,75
2020-09-29,54
2020-09-30,84
2020-10-01,67
2020-10-02,65
2020-10-03,69
2020-10-04,74
2020-10-05,57
2020-10-06,82
2020-10-07,51
2020-10-08,32
2020-10-09,33
2020-10-10,74
2020-10-11,62
2020-10-12,45
2020-10-13,75
2020-10-14,38
2020-10-15,68
2020-10-16,49
2020-10-17,0
2020-10-18,90
2020-10-19,51
2020-10-20,41
2020-10-21,44
2020-10-22,62
2020-10-23,82
2020-10-24,35
2020-10-25,0
2020-10-26,49
2020-10-27,45
2020-10-28,47
2020-10-29,65
2020-10-30,56
2020-10-31,61
2020-11-01,58
2020-11-02,75
2020-11-03,62
2020-11-04,57
2020-11-05,49
2020-11-06,62
2020-11-07,51
2020-11-08,70
2020-11-09,47
2020-11-10,28
2020-11-11,48
2020-11-12,51
2020-11-13,64
2020-11-14,54
2020-11-15,100
2020-11-16,70
2020-11-17,80
2020-11-18,69
2020-11-19,54
2020-11-20,100
2020-11-21,46
2020-11-22,60
2020-11-23,56
2020-11-24,34
2020-11-25,42
2020-11-26,55
2020-11-27,54
2020-11-28,65
2020-11-29,0
2020-11-30,59
2020-12-01,54
2020-12-02,52
2020-12-03,32
2020-12-04,37
2020-12-05,61
2020-12-06,48
2020-12-07,55
2020-12-08,49
2020-12-09,58
2020-12-10,40
2020-12-11,64
2020-12-12,47
2020-12-13,75
2020-12-14,68
2020-12-15,53
2020-12-16,50
2020-12-17,58
2020-12-18,53
2020-12-19,75
2020-12-20,0
2020-12-21,71
2020-12-22,76
2020-12-23,42
2020-12-24,80
2020-12-25,59
2020-12-26,73
2020-12-27,64
2020-12-28,100
2020-12-29,83
2020-12-30,49
2020-12-31,52
2021-01-01,51
2021-01-02,53
2021-01-03,69
2021-01-04,62
2021-01-05,69
2021-01-06,38
2021-01-07,77
2021-01-08,62
2021-01-09,56
2021-01-10,68
2021-01-11,39
2021-01-12,42
2021-01-13,59
2021-01-14,82
2021-01-15,86
2021-01-16,55
2021-01-17,51
2021-01-18,52
2021-01-19,60
2021-01-20,61
2021-01-21,53
2021-01-22,73
2021-01-23,99
2021-01-24,67
2021-01-25,72
2021-01-26,80
2021-01-27,56
2021-01-28,95
2021-01-29,65
2021-01-30,77
2021-01-31,69
2021-02-01,77
2021-02-02,77
2021-02-03,88
2021-02-04,66
2021-02-05,56
2021-02-06,96
2021-02-07,100
2021-02-08,80
2021-02-09,53
2021-02-10,44
2021-02-11,65
2021-02-12,91
2021-02-13,85
2021-02-14,81
2021-02-15,86
2021-02-16,89
2021-02-17,86
2021-02-18,95
2021-02-19,82
2021-02-20,45
2021-02-21,96
2021-02-22,68
2021-02-23,73
2021-02-24,87
2021-02-25,41
2021-02-26,56
2021-02-27,86
2021-02-28,62
2021-03-01,62
2021-03-02,85
2021-03-03,58
2021-03-04,83
2021-03-05,60
2021-03-06,95
2021-03-07,75
2021-03-08,87
2021-03-09,79
2021-03-10,42
2021-03-11,48
2021-03-12,73
2021-03-13,83
2021-03-14,100
2021-03-15,72
2021-03-16,73
2021-03-17,98
2021-03-18,67
2021-03-19,80
2021-03-20,68
